"","WS_20","WS_21","WS_22","WS_23","WS_24","WS_25","WS_26","WS_27","WS_28","WS_29","WS_30","WS_31","WS_32","WS_33","WS_34","WS_35","WS_36","WS_37","WS_38","WS_39","WS_40","WS_41","WS_42","WS_43","WS_44","WS_45","WS_46","WS_47","WS_48","WS_49","WS_50","WS_51","WS_52","WS_53","WS_54","WS_55","WS_56","WS_57","WS_58","WS_59","WS_60","WS_61","WS_62","WS_63","WS_64","WS_65","WS_66","WS_67","WS_68","WS_69","WS_70","WS_71","WS_72","WS_73","WS_74","WS_75","WS_76","WS_77","WS_78","WS_79","WS_80"
"BW_5",-0.418605729425402,-0.414133588849701,-0.404672897196262,-0.391762616715358,-0.376412881211346,-0.369740470703789,-0.357950590164442,-0.349508155004732,-0.334412955465587,-0.329080688053321,-0.324566874566875,-0.323788369416865,-0.321925173006406,-0.338262755823823,-0.348056519921036,-0.367361884411272,-0.388693311244564,-0.404691643144299,-0.432642916321458,-0.46445741170022,-0.504243165095559,-0.551663321778264,-0.619223939245098,-0.690093428675818,-0.740422077922078,-0.770114942528736,-0.794215779121439,-0.792924883335842,-0.798006353379341,-0.802165242165242,-0.807275069496237,-0.803306485799067,-0.810555402044764,-0.804126684998942,-0.800223615381544,-0.815763649650276,-0.822044456101239,-0.838754008245534,-0.852364475201845,-0.868907902375003,-0.885547445255474,-0.904510902735393,-0.904009827147495,-0.89365446966188,-0.910278176831657,-0.907330567081605,-0.904405561057921,-0.919925149116994,-0.917976141505553,-0.907068579702514,-0.907509028657192,-0.911758793969849,-0.881368739205527,-0.884452194129614,-0.90483962086498,-0.897835730608953,-0.894852135815991,-0.881538094100788,-0.883931683513419,-0.887931034482759,-0.915793927853591
"BW_6",-0.428686868686869,-0.424340652246302,-0.414520853675547,-0.400126023944549,-0.384266919643185,-0.37824789392165,-0.367882059929149,-0.359973280530572,-0.342804563857195,-0.340643619348975,-0.33963963963964,-0.338721331656274,-0.339938057733134,-0.355880411204376,-0.365833260398129,-0.386904224476079,-0.407848415821081,-0.428363698571551,-0.455619994476664,-0.489808269861027,-0.532570112132396,-0.580271240041355,-0.647611491039156,-0.713528889816796,-0.76038961038961,-0.786844062706132,-0.807853136155023,-0.803733253048322,-0.805955901913838,-0.809002849002849,-0.815546816733338,-0.810901511940088,-0.814865985078751,-0.806741918735458,-0.804057021922294,-0.820315272993005,-0.828645116167246,-0.846907924874027,-0.858515955401769,-0.875419600716791,-0.8921300597213,-0.909948399267602,-0.906408119095669,-0.896680561988575,-0.913804362021679,-0.91134163208852,-0.908807453871831,-0.924369420295505,-0.919127930892637,-0.908823658461673,-0.911167393649454,-0.915577889447236,-0.887953367875648,-0.89247311827957,-0.911116690728768,-0.902943944078505,-0.901861993428258,-0.887747790780989,-0.888114325548972,-0.89272030651341,-0.923410557494975
"BW_7",-0.440808080808081,-0.43477876767718,-0.425861347468266,-0.409320043535544,-0.394944882005574,-0.386981980280307,-0.377241155268165,-0.369038814800677,-0.351408825093036,-0.357222203521056,-0.358766458766459,-0.357775577381112,-0.358318552352244,-0.374535508818259,-0.38687749803075,-0.409636741204442,-0.432491199006005,-0.4641604653152,-0.483545981772991,-0.519658334380103,-0.565081454665131,-0.618098887064404,-0.682598455938842,-0.73850409729109,-0.780384199134199,-0.806660772178014,-0.821403074233263,-0.814601836519645,-0.815251240160869,-0.816198616198616,-0.823004949488101,-0.819662286279497,-0.819618679193147,-0.810357094782993,-0.807331390009184,-0.824365800187911,-0.832841562301926,-0.851488776912506,-0.864331026528258,-0.879912167789808,-0.895739880557399,-0.912722632192199,-0.908396946564886,-0.898100972672534,-0.916612250228549,-0.91417704011065,-0.910935035398555,-0.926240692370668,-0.921184697655286,-0.910403229344917,-0.91426293325829,-0.917989949748744,-0.894430051813471,-0.895727986050567,-0.913753060071559,-0.907514450867052,-0.906827309236948,-0.891887588567789,-0.890205646566748,-0.895210727969349,-0.924891568814133
"BW_8",-0.452028481536678,-0.444781961631771,-0.437787697028874,-0.420218250558515,-0.405387517373751,-0.396516943069774,-0.387002459663073,-0.375209739882784,-0.359456917351654,-0.374272057090921,-0.377113652113652,-0.375259810349595,-0.375724880756541,-0.391530698858814,-0.404751485446996,-0.429098825252556,-0.455725823151791,-0.495038918826448,-0.511538249102458,-0.54585422114627,-0.594654317214791,-0.657823998053883,-0.712346192113449,-0.759903961584634,-0.798160173160173,-0.822463615567064,-0.832009907481605,-0.82333283155201,-0.823419870741593,-0.822222222222222,-0.828835853278188,-0.82612688992511,-0.823413465966657,-0.811433955733323,-0.808249810326239,-0.824908654348053,-0.833978099796735,-0.853687585890976,-0.866061130334487,-0.882486560157492,-0.897279362972793,-0.913221994118626,-0.908162966862625,-0.89902732746642,-0.917265247485961,-0.915076071922545,-0.911008400278786,-0.926240692370668,-0.920526532291238,-0.912333815979992,-0.914919562872285,-0.920100502512563,-0.895617443868739,-0.898401627433886,-0.915134015441592,-0.90926199758032,-0.908871851040526,-0.893798264469389,-0.891425583827118,-0.895977011494253,-0.924679995768539
"BW_9",-0.465037257824143,-0.455926824461615,-0.449602455014646,-0.430357449733631,-0.414668225708003,-0.404979033659476,-0.396160450474143,-0.383527765186758,-0.372952194004826,-0.390850641263002,-0.392931392931393,-0.39101346107528,-0.391697530580548,-0.409186079411487,-0.420505489589715,-0.441879595910956,-0.473949057775937,-0.515075699255838,-0.533786246893123,-0.567208322389832,-0.618068125719928,-0.685604816639299,-0.737509603153613,-0.778146041025106,-0.81409632034632,-0.837087561225492,-0.839527937641145,-0.83013698630137,-0.829022111637951,-0.826748066748067,-0.831039392501187,-0.829871414441148,-0.825439808418532,-0.811626252331596,-0.807730703190512,-0.822946027769078,-0.832885275282495,-0.852725606962895,-0.865244136870434,-0.881577951086545,-0.896748506967485,-0.911723908339344,-0.906817583574625,-0.897545159796202,-0.917004048582996,-0.914661134163209,-0.909761197314845,-0.924447389965304,-0.919703825586179,-0.911193014786539,-0.915107171333427,-0.92,-0.895077720207254,-0.898866608544028,-0.915008474044316,-0.90926199758032,-0.910186199342826,-0.892842926518589,-0.890205646566748,-0.895593869731801,-0.919602242674283
"BW_10",-0.475131644311972,-0.46470680176415,-0.457330171572046,-0.439766282866472,-0.42143387679161,-0.412685580446526,-0.406509598873815,-0.399098217906816,-0.390667811720443,-0.406604503988959,-0.405699930699931,-0.404412092666435,-0.404968247695545,-0.420447043289635,-0.433147591679552,-0.453596974348171,-0.488361979705943,-0.528825592335985,-0.551637669152168,-0.58488540726953,-0.635463927219728,-0.708836586997507,-0.756955202075541,-0.792734485098387,-0.826082251082251,-0.848118675704883,-0.844510818095724,-0.835225048923679,-0.831056444924338,-0.828343508343508,-0.830632585260018,-0.82803447788611,-0.825845076908907,-0.812395438724689,-0.80585393123827,-0.819020774611128,-0.828951107031233,-0.848831882730188,-0.863033448673587,-0.879306428409177,-0.895686794956868,-0.909504521999667,-0.904419291626452,-0.895321908290875,-0.914783857907797,-0.912793914246196,-0.906166318183485,-0.923277844918327,-0.916906622788976,-0.908209380895968,-0.914356737488861,-0.918492462311558,-0.892594991364421,-0.897006684103458,-0.912999811687904,-0.907245597526549,-0.910916392844104,-0.891728365575989,-0.888114325548972,-0.892337164750958,-0.917909658309531
"BW_11",-0.480960423911244,-0.472100466861022,-0.463286371878923,-0.444950449676348,-0.426787565909943,-0.419137924521174,-0.417199078013087,-0.411328736948414,-0.403852288062814,-0.418655535732319,-0.41502079002079,-0.412797388069687,-0.414323919456673,-0.425370178251438,-0.439001857416538,-0.459475727570951,-0.497307931248706,-0.539068514241724,-0.564495995581331,-0.598131801623825,-0.649662662497943,-0.724064951651159,-0.770103651087518,-0.803382222454199,-0.832440476190476,-0.85350792247344,-0.848298972827275,-0.836248682824025,-0.830493091091185,-0.827269027269027,-0.827818835175266,-0.825526352974424,-0.824297688127475,-0.810703228659885,-0.802779219742044,-0.813926297108257,-0.82405525320744,-0.844892349977096,-0.860918877354863,-0.876681557759774,-0.893404114134041,-0.908283859512845,-0.901611535199322,-0.893222170758067,-0.911518871620739,-0.910580912863071,-0.90396537177653,-0.920548906475381,-0.915096668037845,-0.905927778509061,-0.912199240185732,-0.91608040201005,-0.891083765112263,-0.896192967160709,-0.909986818153286,-0.904153784110767,-0.909309967141292,-0.889180797707189,-0.88654583478564,-0.889846743295019,-0.916428646990373
"BW_12",-0.486749461831429,-0.47759135049914,-0.467066536476496,-0.444105516411754,-0.429067296166376,-0.426557364663216,-0.425629998607738,-0.422175569180364,-0.417462070093649,-0.427458174840947,-0.423128898128898,-0.419559147554437,-0.421271746422696,-0.428972932189003,-0.442386050899048,-0.464050320522467,-0.502919859184096,-0.544435890856214,-0.573134493233913,-0.608432015164838,-0.661628152989022,-0.739366295688135,-0.781715595521467,-0.810350227047341,-0.836471861471861,-0.8552201310822,-0.850892401835798,-0.836248682824025,-0.827300752703316,-0.823199023199023,-0.823004949488101,-0.818814469407941,-0.819213410702772,-0.807280349210622,-0.79746835443038,-0.804948324459756,-0.816492907568903,-0.838570774163995,-0.855632449058055,-0.872037555841599,-0.891015262110152,-0.906341896465627,-0.898394314293235,-0.891184190211518,-0.909363980671281,-0.908022130013831,-0.900517222405634,-0.916416513976063,-0.91254627725216,-0.903207406432364,-0.909103700576896,-0.914070351758794,-0.889464594127807,-0.894798023830282,-0.906471659029565,-0.899986557332975,-0.905366922234392,-0.885518668895788,-0.881840362495643,-0.88639846743295,-0.9119856130329
"BW_13",-0.487120384169564,-0.477156429022854,-0.465546101269354,-0.443446754883428,-0.429346746972003,-0.426889803936383,-0.427455408938323,-0.42395686714221,-0.421371610845295,-0.428888814084223,-0.426645876645877,-0.423359292066975,-0.426289621453713,-0.432820899745355,-0.444253192130778,-0.467621713265316,-0.504431559329054,-0.544136515268155,-0.575851974592654,-0.613250962076487,-0.66842191870989,-0.749364471203552,-0.79030490799864,-0.814786784278929,-0.836661255411255,-0.857970892453651,-0.849114883077147,-0.829896131265994,-0.817473358058307,-0.812389092389092,-0.812122855786833,-0.808499364137346,-0.812250161186331,-0.801626829221391,-0.790280717166474,-0.795302223614156,-0.807750311454987,-0.830004580852038,-0.848904267589389,-0.86557633578153,-0.88655607166556,-0.902347001054208,-0.893714720248019,-0.887787555967269,-0.905903095207,-0.905601659751037,-0.896408789112652,-0.912829909165335,-0.909173179761415,-0.900574788293625,-0.906570986351484,-0.911758793969849,-0.88676597582038,-0.892240627724499,-0.904462996673153,-0.89850786396021,-0.903176341730559,-0.883130324018788,-0.878703380968979,-0.882567049808429,-0.909446736485772
"BW_14",-0.483437655240934,-0.474451761092197,-0.461305621425582,-0.439207767657673,-0.426949353218464,-0.426965358316648,-0.427316182726668,-0.422445944763859,-0.420062977957715,-0.424243444306056,-0.423527373527374,-0.419291531743695,-0.42573820661514,-0.432971800433839,-0.44584804193288,-0.469788625716034,-0.505466970387244,-0.545269865708665,-0.577177575255454,-0.61587740233639,-0.671689508451068,-0.751797117314359,-0.792496316167303,-0.813690693668772,-0.833225108225108,-0.853451784486267,-0.83964449624827,-0.815776004817101,-0.799383440527049,-0.791713471713472,-0.792223201572988,-0.788964250388583,-0.795965736391268,-0.787935311424341,-0.77858084095356,-0.784236350349723,-0.796166371604048,-0.820064131928539,-0.839388696655133,-0.858660811185987,-0.880822826808228,-0.898740498252233,-0.886695329180194,-0.883341052956616,-0.901005615776414,-0.901521438450899,-0.89193353141851,-0.907372032279443,-0.905388728918141,-0.89732789258918,-0.903569250973219,-0.908040201005025,-0.885362694300518,-0.888637024120895,-0.900696754754881,-0.895550477214679,-0.900839722526469,-0.879786641190988,-0.874869292436389,-0.879501915708812,-0.90458055643711
