"","WS_20","WS_21","WS_22","WS_23","WS_24","WS_25","WS_26","WS_27","WS_28","WS_29","WS_30","WS_31","WS_32","WS_33","WS_34","WS_35","WS_36","WS_37","WS_38","WS_39","WS_40","WS_41","WS_42","WS_43","WS_44","WS_45","WS_46","WS_47","WS_48","WS_49","WS_50","WS_51","WS_52","WS_53","WS_54","WS_55","WS_56","WS_57","WS_58","WS_59","WS_60","WS_61","WS_62","WS_63","WS_64","WS_65","WS_66","WS_67","WS_68","WS_69","WS_70","WS_71","WS_72","WS_73","WS_74","WS_75","WS_76","WS_77","WS_78","WS_79","WS_80"
"BW_5",0.569054479218414,0.557983867131489,0.56009206304924,0.57007217735006,0.588398379185327,0.607449661894148,0.630153303528611,0.649322868207807,0.658446816341553,0.659120745952133,0.658853083853084,0.657487444358213,0.657424341289024,0.649269074790154,0.657262887650611,0.662864537875824,0.672561606957962,0.686596527243178,0.688660590996962,0.687430770460541,0.685159500693481,0.686821139694703,0.68292590773416,0.691685369800094,0.693046536796537,0.701317839248874,0.711255190500473,0.723257564353455,0.744393846924245,0.757167277167277,0.77354396908265,0.792002260844991,0.804255319148936,0.823740938022806,0.820388931038614,0.825493266520513,0.820427075820165,0.820888685295465,0.813677431757017,0.809293051664521,0.811758460517584,0.817954835487987,0.833172472288029,0.838258452987494,0.840211571111401,0.850484094052559,0.854517442500275,0.858874897664808,0.86096256684492,0.863454872537405,0.856010506073824,0.847035175879397,0.835708117443869,0.84597500726533,0.837800514719729,0.816373168436618,0.799634903249361,0.816415890454582,0.830602997560126,0.864367816091954,0.865651116047816
"BW_6",0.58367941712204,0.573885683608217,0.573622541498117,0.581543220484619,0.604474154477464,0.616576631030184,0.633866002506072,0.657052429006529,0.662045556782399,0.673797421483152,0.672557172557173,0.681697754703348,0.680804330444532,0.674469489767047,0.682099755910183,0.684613918399695,0.688900393456202,0.702206825763408,0.699928196630765,0.697936531500154,0.694139495521756,0.693462263577206,0.689449755040868,0.695443394749204,0.696266233766234,0.704096669613911,0.710147883732789,0.721601685985248,0.738290847065083,0.748083028083028,0.766187538138179,0.787197965239508,0.800239476835221,0.818318173951503,0.815157928363215,0.821484497337927,0.814613249404411,0.814475492441594,0.807141484044598,0.800560308927084,0.802946250829462,0.807912112300949,0.822350911058466,0.827698008337193,0.829502416089852,0.839557399723375,0.843879534866659,0.848348992242018,0.853064582476347,0.854240709051819,0.847099104169598,0.837185929648241,0.825885146804836,0.832955536181343,0.824116502416672,0.805619034816508,0.793647316538883,0.811479977708781,0.825723248518648,0.856513409961686,0.858034486406432
"BW_7",0.58367941712204,0.590575795260715,0.588757148835263,0.591496247923469,0.622726704466065,0.627003135506781,0.630416286372848,0.646141978990227,0.641892610313663,0.661207796142323,0.663513513513514,0.680716496730627,0.688138147797557,0.6859190795058,0.692077291867239,0.694204512394539,0.695444191343964,0.702164057822256,0.692526926263463,0.68976030877802,0.688192012036014,0.688183421516755,0.685268447500661,0.684900046975312,0.690827922077922,0.697135559204525,0.700502658993225,0.708866475989764,0.723080293569942,0.730728530728531,0.753203607024205,0.770241627808393,0.786644561112646,0.805549679826164,0.802739288423911,0.811796638480008,0.807225755688152,0.802565277141548,0.793973471741638,0.785467302693016,0.788347710683477,0.792598346557177,0.805621362346817,0.808800370541918,0.811153193156589,0.822614107883818,0.826125233850556,0.834002572999103,0.838338132455779,0.836865429336141,0.83209042727827,0.822613065326633,0.813579447322971,0.821098517872711,0.811687904086373,0.792848501142627,0.781234027017159,0.80415572008598,0.817357964447543,0.848850574712644,0.8521104411298
"BW_8",0.571849643980792,0.573328440466725,0.575686985632585,0.574282522770235,0.594399217537744,0.598776019039704,0.608047275033646,0.619088516194702,0.623015580910318,0.627377385801326,0.630370755370755,0.64335732955103,0.652112378344101,0.654965575780439,0.662066886444749,0.662202425738105,0.662083247049079,0.666752202548969,0.655122894228114,0.646641011293693,0.644984602364889,0.649553001277139,0.650785254593771,0.648572472467248,0.662662337662338,0.676083814014849,0.680658556130254,0.686527171458678,0.698073642864967,0.706080586080586,0.725100006780121,0.740002826056239,0.758938933407018,0.779397342461012,0.779658986543146,0.792504436788809,0.790221406246585,0.783417315620705,0.770424836601307,0.761136770904318,0.764193762441937,0.76591022582256,0.774034102541605,0.777736606453605,0.784445605328458,0.793499308437068,0.800961079931037,0.808740399984406,0.814561908679556,0.815190206660524,0.807513718868721,0.796482412060301,0.79080310880829,0.799941877361232,0.786328541836671,0.776448447371959,0.762687112084702,0.789347981848579,0.808121296619031,0.843486590038314,0.844282238442822
"BW_9",0.533737373737374,0.52758013767983,0.526642488492119,0.526436386549808,0.526066141593311,0.533950360772166,0.547855142861563,0.555916056333548,0.565762892078682,0.565927222540142,0.572782397782398,0.583018884755711,0.580961483673526,0.572271998490993,0.568398634652974,0.564249957363991,0.573224270035204,0.577752117013087,0.571013532173433,0.560813511322241,0.554926067843626,0.556893510916499,0.563834208637171,0.569732240722376,0.58241341991342,0.604395604395604,0.625118379835361,0.631883185307843,0.645525249205828,0.655189255189255,0.677673062580514,0.689416419386746,0.705369807497467,0.731977001326847,0.739208561274608,0.756049692034659,0.76154569099294,0.752359138799817,0.735918877354863,0.724540016657833,0.727086927670869,0.727847750097098,0.730221403293264,0.731357109773043,0.743110878934308,0.756639004149378,0.760757125563992,0.774043896924096,0.778938708350473,0.780351893291211,0.771868111251817,0.759497487437186,0.7536701208981,0.764835803545481,0.751302491996736,0.746471299905901,0.734501642935378,0.767056762996577,0.792436388985709,0.830842911877395,0.836030889664657
"BW_10",0.488670309653916,0.475946803666932,0.473608592551262,0.474050524145042,0.468072745457086,0.467190510369839,0.475055303745185,0.480274510739477,0.484562221404327,0.486350018514155,0.494871794871795,0.499487069696078,0.493010816921083,0.48488163727247,0.471715727747469,0.452633902147852,0.447918823773038,0.445406723120349,0.443954708644021,0.44383414600724,0.437927548837537,0.428498449188104,0.422752862054634,0.434913095673052,0.457873376623377,0.464359395393878,0.470445108180957,0.492066837272317,0.512041688183653,0.526642246642247,0.565936673672791,0.585205595591352,0.603757944183476,0.630790531315501,0.646448109252086,0.67921494936841,0.692304329770726,0.691525423728814,0.679642445213379,0.671840690542894,0.673258128732581,0.671697275703268,0.67389078997397,0.673243785703258,0.684406425493013,0.704011065006916,0.708081141557536,0.707379829246423,0.715919374742904,0.725856697819315,0.712396229069931,0.701105527638191,0.696243523316062,0.708456843940715,0.699453894921851,0.696867858583143,0.691712303760497,0.727569461030173,0.766294876263507,0.817241379310345,0.821855495609859
"BW_11",0.452743831760225,0.437972722268659,0.437271585995257,0.438062095434496,0.433612048742104,0.428491556798005,0.428754853580434,0.429555232165152,0.42964871385924,0.426280001346484,0.428170478170478,0.424643847958537,0.414029831542767,0.408789965104216,0.397613560113195,0.375046398009651,0.35315800372748,0.351766315969549,0.338282242474455,0.331742243436754,0.317708455769999,0.302657665876057,0.289404415561517,0.285140143013727,0.294859307359307,0.296871710664814,0.311808843884316,0.324251091374379,0.34194012800651,0.352706552706553,0.368906366533324,0.389748480994772,0.424260845537441,0.453262311789704,0.478616779139879,0.536110241152521,0.573798439446594,0.585112230874943,0.581555171088043,0.589712526185609,0.602229595222296,0.603839538367641,0.612178643502676,0.617044928207503,0.630207653127857,0.653181189488244,0.649462602252302,0.641495458266734,0.643109831345125,0.655214777763152,0.642136860372403,0.632462311557789,0.624676165803109,0.638942167974426,0.628020839871948,0.637720123672536,0.640452719970792,0.692699625825969,0.741373300801673,0.801724137931035,0.810430551147784
"BW_12",0.424156317271071,0.405802124319586,0.405774863997768,0.40456550380936,0.402593009317478,0.394945411960258,0.39159692464768,0.38844223902792,0.384059215638163,0.366092166829367,0.365107415107415,0.35716898154343,0.338706564593653,0.327794020560219,0.309410586301796,0.287988683901646,0.264858148685028,0.259323411170986,0.23802264567799,0.222619360290507,0.196525541268013,0.179565772669221,0.16235311897835,0.150086121405084,0.144209956709957,0.120401947988155,0.101187440810082,0.104892367906067,0.102765128397728,0.106422466422466,0.107397111668588,0.109333050727709,0.122077922077922,0.131780858796608,0.149023679271653,0.209145004697776,0.288614954210653,0.348465414567109,0.378508266051519,0.401327578809217,0.448122096881221,0.470898296620984,0.511333391828259,0.53422880963409,0.556745461669061,0.585615491009682,0.577931844026265,0.565085181864255,0.55820649938297,0.558948707823264,0.552084799024436,0.537085427135678,0.526878238341969,0.527695437372857,0.522314983365765,0.539319801048528,0.558963125228185,0.636653132712364,0.707737887765772,0.781034482758621,0.791388977044325
"BW_13",0.402470607716509,0.385945240667876,0.384140047426419,0.381809589276508,0.379251513079033,0.368697820256129,0.36333400368176,0.356156213469475,0.347761010918906,0.3256808159693,0.321032571032571,0.309586890393484,0.290200439293821,0.27937376214279,0.252773968939328,0.223944382580432,0.204452267550217,0.183966298862373,0.164297155481911,0.146406915531397,0.117257105244599,0.102815787873259,0.0830342187126107,0.0629208205021139,0.0442911255411255,0.013852048334807,-0.0110876375027318,-0.0223091976516634,-0.0467427194341424,-0.068978428978429,-0.0892263882297105,-0.101420093259856,-0.114893617021277,-0.134165336615195,-0.138601605238989,-0.0898423635034972,-0.00010928245142395,0.0778286761337609,0.140042291426374,0.187148229474269,0.239654943596549,0.268157354491483,0.321224883741336,0.365261695229273,0.428039702233251,0.472614107883817,0.478155606910972,0.48594596701883,0.4882764294529,0.484972138124698,0.476384784953801,0.447939698492462,0.4375,0.427259517582098,0.419747661791476,0.456244118833176,0.495582329317269,0.576307618820158,0.664168699895434,0.748275862068966,0.75986459325082
"BW_14",0.38856102003643,0.371280232139338,0.366410935974334,0.363235378358252,0.357660261360043,0.350625212496694,0.346286527543586,0.338120571605792,0.325792336318652,0.303362843774195,0.292602217602218,0.278614820563599,0.259174164376763,0.248401395831368,0.2239499761745,0.190236855569266,0.1648167322427,0.139337952270978,0.11898370615852,0.0983773166915988,0.0708056136721597,0.0565955117679256,0.0293573128801904,0.00762043948013988,-0.0148538961038961,-0.0468892537858055,-0.0803234501347709,-0.100135480957399,-0.134688512276419,-0.164021164021164,-0.192318123262594,-0.221209552070086,-0.252795431518836,-0.284348979866546,-0.292337180050313,-0.250067856770018,-0.173999519157214,-0.10659642693541,-0.0393118031526336,0.0192574644759092,0.0885733244857332,0.121677856072796,0.144628703459975,0.168380423035356,0.22450045709808,0.285477178423237,0.325923480429918,0.362130131378894,0.375647881530234,0.386775481549735,0.386614136297547,0.375075376884422,0.363773747841105,0.363557105492589,0.363128491620112,0.403548864094636,0.453961299744432,0.531088289148953,0.621993726036947,0.713984674329502,0.725589759864593
