"","WS_20","WS_21","WS_22","WS_23","WS_24","WS_25","WS_26","WS_27","WS_28","WS_29","WS_30","WS_31","WS_32","WS_33","WS_34","WS_35","WS_36","WS_37","WS_38","WS_39","WS_40","WS_41","WS_42","WS_43","WS_44","WS_45","WS_46","WS_47","WS_48","WS_49","WS_50","WS_51","WS_52","WS_53","WS_54","WS_55","WS_56","WS_57","WS_58","WS_59","WS_60","WS_61","WS_62","WS_63","WS_64","WS_65","WS_66","WS_67","WS_68","WS_69","WS_70","WS_71","WS_72","WS_73","WS_74","WS_75","WS_76","WS_77","WS_78","WS_79","WS_80"
"BW_5",0.698108958436827,0.700420650615346,0.699163063188729,0.698688205304462,0.705841257234466,0.712152922065657,0.721640394164875,0.724598611541856,0.720296078190815,0.721698589558017,0.738322938322938,0.747174423064915,0.741147494279071,0.737244176176554,0.740370121850415,0.74175620228529,0.75021743632222,0.769630484988453,0.774758354045844,0.767571456304028,0.766520134464844,0.781621358632853,0.794662535736326,0.792603998120987,0.79375,0.815727057106368,0.824521016973847,0.831883185307843,0.839757131903041,0.848921448921449,0.86412638144959,0.880104564080825,0.889288016947591,0.89662134876834,0.89901369644212,0.906796116504854,0.895744541341552,0.889509848831883,0.883986928104575,0.882789429847808,0.869197080291971,0.86728069688731,0.864233277763154,0.864319901188822,0.868812850986026,0.869087136929461,0.872565203037306,0.881174223227165,0.886877828054299,0.89732789258918,0.897378171755546,0.88713567839196,0.879965457685665,0.87608253414705,0.87973134140983,0.873235649952951,0.865352318364367,0.878672080248388,0.884280237016382,0.901340996168583,0.925526287950915
"BW_6",0.738989898989899,0.733814465216476,0.732598688798996,0.733301827347196,0.741640376229032,0.748343470212686,0.756632582027443,0.762785186598914,0.767734020365599,0.771215538425287,0.78031878031878,0.786674516730448,0.777834961538815,0.773799867961898,0.777985237914637,0.774480593091963,0.776309794988611,0.79007356085878,0.785296879315106,0.776044580968586,0.778462117116058,0.788797664659734,0.794838855933804,0.790594498669033,0.794345238095238,0.805678357402495,0.812253223573978,0.821767273822068,0.826925183481214,0.834888074888075,0.850057631025832,0.870531298572842,0.882103711890946,0.891467799934619,0.892864273449667,0.899029126213592,0.887788778877888,0.880668804397618,0.875,0.874056687110371,0.861871267418713,0.856849581090828,0.855049574449417,0.853450671607226,0.858887292673371,0.85926694329184,0.862367484685081,0.870960196483568,0.878815302344714,0.887762713351762,0.887528727545612,0.879597989949749,0.873056994818653,0.86922406277245,0.869939112422321,0.864497916386611,0.853085067542899,0.866730355863387,0.872603694667132,0.892337164750958,0.920871680947847
"BW_7",0.765961251862891,0.764653116144421,0.763300320825778,0.761986595634989,0.76759988527809,0.778973215972196,0.788577262812679,0.795755103339138,0.799075778023146,0.80176389403171,0.808662508662509,0.811420058697068,0.808548768047348,0.804149768933321,0.80663418618899,0.801888022792709,0.799647960240215,0.807907792318878,0.795636564484949,0.784494867022188,0.784103998683561,0.788919296965274,0.788390574426015,0.783287227934652,0.783928571428571,0.790156203949307,0.796634370219276,0.806352551558031,0.808490994163028,0.817468457468457,0.834971862499153,0.855765154726579,0.867735101777655,0.883622098725074,0.881843229645011,0.887420398789017,0.876816820754923,0.870087036188731,0.864138792772011,0.864566770147144,0.851625746516257,0.846695888586806,0.843760053815332,0.842457928053111,0.846806843411258,0.848409405255878,0.847034224716628,0.855912050212467,0.866474701768819,0.875652669913562,0.874865156418554,0.869447236180904,0.862478411053541,0.85864574251671,0.859393635051158,0.850383116010216,0.838043081416575,0.854629408486585,0.860927152317881,0.883141762452107,0.911774039987306
"BW_8",0.764040404040404,0.767656792590026,0.762533128748779,0.75396689007275,0.759584059537729,0.771674662838578,0.779280045789954,0.788693529276109,0.79685110211426,0.799491702292389,0.807952182952183,0.812990071453421,0.811434505702548,0.808488163727247,0.811263140492653,0.809432088361875,0.803313315386208,0.806047386878796,0.790466721900028,0.780520948715899,0.77954347774983,0.775977619655781,0.775997783403232,0.768281225533692,0.766937229437229,0.771462254220875,0.779267137757704,0.78594008730995,0.787709497206704,0.796239316239316,0.818021560783782,0.830754557015685,0.846697982868196,0.868392208141838,0.866589466118277,0.870842467898528,0.8594627674688,0.85267979844251,0.849769319492503,0.849675677039953,0.837929661579296,0.833324085890251,0.83206106870229,0.829118419021152,0.830873710330417,0.83118948824343,0.826858882652874,0.838056995828623,0.852570958453311,0.863103856785573,0.862013976830355,0.858090452261307,0.852331606217617,0.852368497529788,0.847341660912686,0.835192902271811,0.825921869295363,0.842846907093384,0.848030672708261,0.873754789272031,0.90352269120914
"BW_9",0.720483523762212,0.722316228687149,0.717003766215651,0.716102423096752,0.717710562505056,0.721325223829852,0.727302260105503,0.731421618913567,0.737062937062937,0.747315447537617,0.763444213444213,0.773507818841937,0.77689755631324,0.778855041026125,0.787671033054235,0.786900211675244,0.782211638020294,0.778248225130442,0.76152444076222,0.749688823925729,0.743059310279978,0.739220336921486,0.74040629211219,0.732762670285505,0.734334415584416,0.737835599904565,0.742726014424127,0.752009634201415,0.760261646558065,0.769344729344729,0.785171876059394,0.798572841599548,0.815529151699364,0.837970886295021,0.842231362057261,0.844242614051571,0.830043931545473,0.821621621621622,0.823144944252211,0.824032709926554,0.816907763769077,0.817621927537036,0.815156035213945,0.811702948896094,0.81520177615254,0.81701244813278,0.812772825648362,0.817940821020623,0.835952283011107,0.848712210960467,0.849068993011585,0.842211055276382,0.840241796200345,0.842371403661726,0.831523444855941,0.820674821884662,0.810003650967506,0.834567311519783,0.837051237364936,0.866283524904215,0.895694488522162
"BW_10",0.643530385825468,0.634244629739115,0.630520295717673,0.636292031849688,0.644465035556438,0.653915605757244,0.659004068499296,0.658499733600528,0.658904837852206,0.664220554078163,0.673943173943174,0.685390852891589,0.687697015926699,0.690163161369424,0.699117970261886,0.707045475065459,0.705943259474011,0.705008125908819,0.689942004971003,0.676559591645636,0.666165166082889,0.653347929209998,0.641062455132807,0.633201106529568,0.635146103896104,0.649165649165649,0.650761273402783,0.659461086858347,0.68095394582414,0.697419617419617,0.720387822903248,0.735728415995478,0.754702035553099,0.769205622752533,0.773908876732021,0.764902390646205,0.763775053001989,0.765506184150252,0.774125336409073,0.779157517478105,0.777783676177837,0.779836875104034,0.782281887046299,0.783294735216921,0.794044665012407,0.796680497925311,0.793111037746231,0.795797434797864,0.808885232414644,0.823790092580405,0.827118803058018,0.821105527638191,0.819300518134715,0.821679744260389,0.811938986880924,0.801720661379217,0.789558232931727,0.819441127298782,0.827988846287905,0.857088122605364,0.888289431926373
"BW_11",0.591296572280179,0.575054535075738,0.571474403682522,0.579953600274961,0.591369382487259,0.599048014808659,0.604288167318967,0.59861949407957,0.592459002985319,0.589069916181371,0.591770616770617,0.596631608995459,0.6000771980774,0.595340941243044,0.597339323744785,0.608250318516066,0.617022157796645,0.614211786844581,0.60081745374206,0.585250825044821,0.579186158583888,0.568156662409536,0.559879598493722,0.546140195208518,0.537689393939394,0.537535261673193,0.521031543673053,0.518801746199006,0.511165359998748,0.526967846967847,0.559563360227812,0.587537091988131,0.618016026526665,0.659365805818895,0.666533562272891,0.669777638584403,0.675737110134855,0.688456252863032,0.708093041138024,0.713081446707554,0.71413404114134,0.720468290517672,0.735602936445264,0.746487571406515,0.761133603238866,0.769917012448133,0.766773045743003,0.772406533858329,0.782805429864253,0.799657759641964,0.803761549645889,0.796984924623116,0.794581174438687,0.797384481255449,0.79197790471408,0.781825514182014,0.765315808689303,0.795557678528779,0.813872429417916,0.846360153256705,0.882576959695335
"BW_12",0.552654412982282,0.536781445162518,0.534746826614591,0.536690152947242,0.544804053507475,0.54898568244494,0.552836347322989,0.546373388680806,0.534764650554124,0.528562291715757,0.517584892584893,0.514437872989536,0.504902996939648,0.495218334433651,0.487664225768494,0.477794163381186,0.470656450610893,0.478509109571465,0.468323667495167,0.459227369791369,0.448623615975928,0.439421030225628,0.428243976776111,0.412417140769351,0.410822510822511,0.397078017767673,0.377897574123989,0.364654523558633,0.333521117944384,0.317378917378917,0.302189978981626,0.312526494277236,0.332007000092106,0.354806453473838,0.370842151499421,0.403445036016286,0.46692020195397,0.537333944113605,0.596789696270665,0.624037757754726,0.62792302587923,0.634300615879709,0.663420198297798,0.680963408985641,0.701776152540159,0.713485477178423,0.716591467664429,0.725468792639663,0.737474290415467,0.752446141020578,0.75807888935791,0.758793969849246,0.760470639032815,0.760650973554199,0.757328479065972,0.746202446565398,0.731872946330778,0.767693654963777,0.79383060299756,0.838505747126437,0.877287633555485
"BW_13",0.52528564331843,0.508878514199507,0.504700795089971,0.506616257088847,0.511608239386385,0.514094669638472,0.512940302894358,0.496163052381293,0.478853310432258,0.468222977749352,0.456375606375606,0.446748913925835,0.43193243330178,0.41544845798359,0.397924750318484,0.380283103098886,0.358190101470284,0.348729792147806,0.334835680751174,0.330828698998527,0.323350337337502,0.311269233108314,0.297439578846614,0.280651390991179,0.269128787878788,0.256704980842912,0.229547606906097,0.214812584675598,0.174185875467505,0.144289784289784,0.106922503220557,0.082944750600537,0.0741088698535507,0.0588235294117647,0.0546260432056862,0.104374151790375,0.186282866697266,0.27915712322492,0.35957324106113,0.426819111077459,0.481672196416722,0.528435887477112,0.565967652306163,0.587710359734445,0.602847068042314,0.608644536652835,0.618796082315396,0.631281431523138,0.649526943644591,0.673379842920451,0.686881478354674,0.700502512562814,0.707145941278066,0.70648067422261,0.706358671772017,0.6975399919344,0.677692588535962,0.733460711726773,0.769431857790171,0.821455938697318,0.865651116047816
"BW_14",0.504937903626428,0.486289780024872,0.476482075603292,0.473706822478089,0.476015031511755,0.478070341128027,0.476200052596569,0.45764248395639,0.438956365272155,0.425977042447908,0.407328482328482,0.392583473831634,0.373408938434533,0.354050740356503,0.333625074150791,0.313169009139154,0.288279146821288,0.270934907193568,0.246594863297432,0.235157757705176,0.221655422083265,0.215155385270328,0.204115817181144,0.191763661986534,0.174864718614719,0.149902460247288,0.12245938661033,0.0977570374830649,0.0585731499303632,0.0152218152218152,-0.0216285849888128,-0.0620319344354953,-0.0931196463111357,-0.133549987500721,-0.146468074911153,-0.109886209416432,-0.0443468187878391,0.0401282638570774,0.120049980776624,0.184422402261427,0.243317850033178,0.284913721356045,0.354040536983417,0.417384591631928,0.464150450568108,0.494951590594744,0.497670665052639,0.506218081166426,0.517071164129988,0.529112368917555,0.540734487125369,0.56964824120603,0.592400690846287,0.602324905550712,0.608436381896931,0.628444683425191,0.625994888645491,0.683146246317968,0.725165562913907,0.785632183908046,0.838146620120597
