"","WS_20","WS_21","WS_22","WS_23","WS_24","WS_25","WS_26","WS_27","WS_28","WS_29","WS_30","WS_31","WS_32","WS_33","WS_34","WS_35","WS_36","WS_37","WS_38","WS_39","WS_40","WS_41","WS_42","WS_43","WS_44","WS_45","WS_46","WS_47","WS_48","WS_49","WS_50","WS_51","WS_52","WS_53","WS_54","WS_55","WS_56","WS_57","WS_58","WS_59","WS_60","WS_61","WS_62","WS_63","WS_64","WS_65","WS_66","WS_67","WS_68","WS_69","WS_70","WS_71","WS_72","WS_73","WS_74","WS_75","WS_76","WS_77","WS_78","WS_79","WS_80"
"BW_5",0.108951813214108,0.111074867654754,0.0771934718928721,0.090307612991923,0.0738706142769946,0.0550564768992482,0.0463468589019693,0.0462103681084047,0.0592728908518382,0.0380718349210624,0.04499306999307,0.0652536551859484,0.0786593267224821,0.0928227860039611,0.113749744726785,0.131268747303899,0.116856492027335,0.0921221452399281,0.0675945871306269,0.0628861152664695,0.0589341545405393,0.0327069269598005,0.0228586541731212,0.0171198914348348,0.00438311688311688,-0.0654428585463068,-0.103431193997232,-0.134065934065934,-0.16244933727681,-0.206023606023606,-0.230524103329039,-0.253709198813056,-0.312996223634521,-0.375766782685614,-0.450824581719443,-0.497859901868671,-0.487683867724521,-0.460054970224462,-0.49442522106882,-0.504101360389692,-0.523822163238222,-0.499694834378294,-0.490275218624784,-0.491554732129072,-0.457359279091028,-0.418533886583679,-0.373390557939914,-0.309656543604538,-0.240641711229947,-0.214777763152121,-0.252098869659022,-0.293668341708543,-0.352655440414508,-0.352513804126707,-0.293076391940242,-0.235784379620917,-0.183059510770354,-0.233818963458323,-0.256361101429069,-0.301340996168582,-0.397228393102719
"BW_6",0.0995197880443782,0.0893423851365586,0.0582368531175896,0.0706593343644383,0.0542208102602569,0.0448264138113407,0.0334142907971474,0.0366836049017503,0.0347360242097084,0.0142222371831555,0.0122661122661123,0.0315519040864934,0.0539375614597789,0.0542865226822597,0.0851202458402622,0.107633350387737,0.0971629737005591,0.0809810965700111,0.0401988400994201,0.0430393623459821,0.0560897059169233,0.0310527276044517,0.0182239518393975,0.0207474294065452,0.0146915584415584,-0.0439139404656646,-0.0906971661688643,-0.120036128255306,-0.153498270816707,-0.225071225071225,-0.271679435893959,-0.304719513918327,-0.353854655982316,-0.368997942426398,-0.450904444355708,-0.525879528134461,-0.532926802614036,-0.509253321117728,-0.514946174548251,-0.523888846823654,-0.55599203715992,-0.537923764079232,-0.532274575180603,-0.536575575111935,-0.510056157764137,-0.47088520055325,-0.428707677634716,-0.367588008264785,-0.313451254627725,-0.279803431178974,-0.300595656864125,-0.322914572864322,-0.385686528497409,-0.37332170880558,-0.317556964409014,-0.257023793520634,-0.198977729098211,-0.237958761245124,-0.257929592192402,-0.288122605363985,-0.385168729503861
"BW_7",0.099003146216261,0.0714834220165406,0.0454875156925652,0.0563527524775162,0.0489553687647539,0.0367572059990178,0.0318054545735811,0.0227354056826586,0.0222549380444117,0.0116639175951796,0.0023042273042273,0.0289114280871714,0.0422108058927866,0.0377251721210978,0.0592525600256732,0.0785204803322599,0.0860012424932698,0.0767043024548798,0.0473349903341618,0.0428794920692924,0.063941324431698,0.0485677796022624,0.028777975088475,0.0430346051464064,0.0269480519480519,-0.00529100529100529,-0.0485612296933052,-0.069968387776607,-0.0932194106692957,-0.14005698005698,-0.203844328429046,-0.251801610852056,-0.30485401123699,-0.329154087264196,-0.361298566465679,-0.387576991335212,-0.43675824536096,-0.485478699038021,-0.496443675509419,-0.520002019131269,-0.56092899800929,-0.548854241802142,-0.555965020034512,-0.566589470433843,-0.545122110487136,-0.504287690179806,-0.468177983199442,-0.415149506841839,-0.366186754422049,-0.338861831424685,-0.33999343370386,-0.348341708542714,-0.419257340241796,-0.400406858471375,-0.352457472851673,-0.29466326119102,-0.229499817451625,-0.265822784810127,-0.267340536772395,-0.278735632183908,-0.37501322331535
"BW_8",0.0835568802781917,0.059672585676133,0.0362951597154415,0.0549636249069141,0.0470286289996396,0.0377394129424653,0.039524774530885,0.0257572504393603,0.0192123665807876,0.016847880970815,0.00455647955647956,0.0246652572233968,0.03945373169992,0.0289163444308215,0.0454240452781749,0.0687693743040299,0.0599503002692069,0.0444572748267898,0.0325545429439381,0.0426739445706912,0.0476974070852629,0.0348719819984188,0.0410700117126988,0.0393026775927762,0.0126623376623377,-0.0192132261097778,-0.0276972390179937,-0.041607707361132,-0.0856141339217251,-0.110948310948311,-0.167638483965015,-0.216122650840752,-0.231021460808695,-0.275772551583563,-0.3188515752905,-0.301430211921912,-0.353616156317619,-0.389418231791113,-0.444732795078816,-0.492339920749098,-0.549727936297279,-0.547134217388892,-0.572460589043901,-0.586475220009264,-0.572678594749902,-0.532434301521439,-0.499064597777044,-0.447818798487388,-0.406088029617441,-0.382563292527752,-0.385488485530697,-0.386934673366834,-0.454123488773748,-0.437721592560302,-0.393132885569016,-0.343728995832773,-0.27710843373494,-0.310086776530531,-0.293656326246079,-0.28448275862069,-0.379456257272823
"BW_9",0.0776486173207485,0.0503081826398375,0.0308829683358906,0.0547344904622787,0.0472786639309903,0.0429375543047108,0.046424206797333,0.0359679048277946,0.0329039381670961,0.0352442185343522,0.0154365904365904,0.0400264047599932,0.0477984762569961,0.0229746298217486,0.0349213758496951,0.0667027818741786,0.0442120521847173,0.0331665383628432,0.0185915492957747,0.0238777677541652,0.0376830673029455,0.0483245149911817,0.0410196345134192,0.0288376220053239,0.00633116883116883,-0.0188483291931568,-0.0155751438770307,-0.040463645943098,-0.0752233854435629,-0.131982091982092,-0.175062716116347,-0.191995195704395,-0.219268674587823,-0.249466376939792,-0.231002675398315,-0.249859066708425,-0.298668939741656,-0.344296839212093,-0.399125336409073,-0.447969511117841,-0.506463171864632,-0.534428230594241,-0.576847708461291,-0.597962019453451,-0.590440120151495,-0.556362378976487,-0.527163346905836,-0.480254181123543,-0.43751542575072,-0.426703523320609,-0.423103981989588,-0.423517587939699,-0.489961139896373,-0.473990119151409,-0.438202247191011,-0.395483263879554,-0.336546184738956,-0.362630363824536,-0.337748344370861,-0.326053639846743,-0.415423675023802
"BW_10",0.0703626428216592,0.0404001277581837,0.0210768586971684,0.0373489144755685,0.0386009810194071,0.0400060443504212,0.0450164751017125,0.053446891078401,0.0451069398437819,0.0528831588514492,0.0409390159390159,0.0792410415607354,0.0837323432373565,0.0536640573422616,0.0684715698573388,0.0753303036687032,0.0556222820459722,0.0460610726199641,0.0441977354322011,0.0406641468065912,0.070029854956628,0.0802408319649699,0.0669387035427765,0.0662612871235451,0.0590367965367965,0.0346511725822071,-0.00820281197639688,-0.0428420894174319,-0.0905591286794047,-0.104664224664225,-0.114211132958167,-0.128479581743677,-0.150041447913788,-0.145433917274003,-0.160883280757098,-0.198830775655079,-0.244595982777086,-0.286532295006871,-0.342560553633218,-0.399157012695288,-0.467498341074983,-0.519613826776896,-0.57088122605364,-0.600185270958777,-0.601279874624527,-0.569156293222683,-0.542790066395217,-0.497641417488597,-0.463512957630605,-0.458031679171603,-0.456779700764504,-0.451959798994975,-0.518890328151986,-0.506538796861377,-0.476115749168288,-0.437827665008738,-0.394961664841183,-0.413104052225141,-0.38915998605786,-0.382183908045977,-0.458584576324976
"BW_11",0.0602152674283822,0.0231119990757919,0.00676523922443855,0.0248324454373604,0.024084247063928,0.0344150202107967,0.0329811425831103,0.0505045685521387,0.0776591829223408,0.0797960076749588,0.0596500346500346,0.111729600984826,0.126228046796739,0.0925209846269924,0.0926471589306727,0.105486501941192,0.0745081797473597,0.0782653323069027,0.0820215410107705,0.0554407280949173,0.0891652366064082,0.0905795779358998,0.0747723580307553,0.0850253144736155,0.0843885281385281,0.0520258796120865,0.012194944270416,-0.0280596116212555,-0.0738462982958547,-0.0835653235653236,-0.0660722760865144,-0.0788116433517027,-0.104614534401768,-0.100898025113936,-0.132412250928403,-0.167721056477712,-0.211723821388761,-0.259001374255612,-0.317474048442907,-0.378612352035537,-0.445998672859987,-0.499805803695278,-0.552630809277295,-0.59400957233287,-0.600169779286927,-0.571438450899032,-0.546971864568431,-0.508167322911387,-0.475689016865487,-0.472862094686499,-0.480793583790629,-0.477688442211055,-0.539723661485319,-0.534088927637315,-0.50147511141799,-0.467535959134292,-0.431325301204819,-0.451317570257145,-0.425932380620425,-0.425287356321839,-0.484608060933037
"BW_12",0.0514191091240272,0.0181919498752999,-0.00608174082856744,0.00485478604571232,0.0123178973533067,0.00481281402289298,0.0202496790062342,0.0499320084929742,0.0757453073242547,0.0880432221361968,0.0796950796950797,0.114477123308445,0.118692044002904,0.103913986607564,0.116764399840515,0.15664971258314,0.143259474011182,0.141348045505089,0.143993371996686,0.127679254547738,0.126495686311385,0.130304688925379,0.122832206143499,0.0938201367503523,0.0788690476190476,0.0526714664645699,-0.000888759379325417,-0.0357970796326961,-0.0499976526923619,-0.0919332519332519,-0.10383754830836,-0.0668715557439593,-0.0546191397255227,-0.0790531315501029,-0.109331949047638,-0.140745380519887,-0.184315782571635,-0.228172240036647,-0.28743752402922,-0.345145251255647,-0.414837425348374,-0.46473949952838,-0.519230206779562,-0.569121506870465,-0.588350528927779,-0.562863070539419,-0.541029309269653,-0.50652995984562,-0.475113122171946,-0.482778289675749,-0.498053562215656,-0.500502512562814,-0.565738341968912,-0.56907875617553,-0.539263071997991,-0.511627906976744,-0.473092369477912,-0.487620412387549,-0.461136284419658,-0.461877394636015,-0.518882894319264
"BW_13",0.0320914058618977,0.0106215979286865,-0.0175756730366857,0.00110270951480781,0.00490509703561527,-0.00633901250424993,0.00320220286805996,0.0374470183139697,0.0686786897313213,0.0765981081899889,0.0656791406791407,0.0939955932596498,0.0925733611491485,0.0592851079883052,0.0562184555241124,0.092184067174286,0.119134396355353,0.15079976049953,0.177398508699254,0.177741489762593,0.205505536096288,0.223061485130451,0.22635735066309,0.187327104754945,0.131412337662338,0.0745372124682469,0.0391199825162089,0.0494354960108385,0.0424236733799665,0.0226129426129426,0.0140348498203268,-0.00614667231877914,-0.020429216173897,-0.0488625656212142,-0.0742323204088967,-0.102787347322267,-0.13902913470155,-0.183737975263399,-0.240196078431373,-0.296988970495444,-0.365361645653616,-0.408921933085502,-0.460559796437659,-0.520209973753281,-0.551390884158287,-0.532641770401107,-0.511023073254833,-0.481501695840318,-0.450267379679144,-0.470580492299592,-0.497584541062802,-0.504221105527638,-0.577828151986183,-0.58732926474862,-0.563492561672212,-0.540798494421293,-0.517050018254838,-0.526630045378553,-0.502962704775183,-0.510344827586207,-0.555061885115836
"BW_14",0.0180758403709223,-0.00441037559546866,-0.0199609429488074,-0.00103110500085925,0.00487568116133872,0.0122020324128291,0.0301192704546509,0.0417571232037916,0.0604015867173762,0.0779950853334231,0.0598925848925849,0.0663062773748673,0.0421924253981675,0.0112421012920871,0.0168334451673134,0.0413017525907645,0.053033754400497,0.107903515524763,0.138779342723005,0.157095385458656,0.187475022920144,0.214474244359302,0.207465900933238,0.214129129912835,0.206358225108225,0.181367802057457,0.175930647628761,0.166551256962216,0.129649625213214,0.111859991859992,0.0981761475354261,0.066129715981348,0.0344662429768813,0.00886487318039344,-0.0124585712574372,-0.0425722935588266,-0.0750333311476843,-0.11319285387082,-0.15940984236832,-0.216526589434896,-0.278035832780358,-0.328025301004272,-0.383346494691586,-0.434306005866914,-0.469700927256106,-0.46210235131397,-0.445214775686879,-0.415539355190831,-0.395804195804196,-0.424860690623492,-0.47038131419727,-0.493467336683417,-0.572862694300518,-0.587213019471084,-0.575293453016132,-0.561634628310257,-0.544943410003651,-0.558633866730356,-0.541129313349599,-0.55727969348659,-0.600761662964138
