"","WS_20","WS_21","WS_22","WS_23","WS_24","WS_25","WS_26","WS_27","WS_28","WS_29","WS_30","WS_31","WS_32","WS_33","WS_34","WS_35","WS_36","WS_37","WS_38","WS_39","WS_40","WS_41","WS_42","WS_43","WS_44","WS_45","WS_46","WS_47","WS_48","WS_49","WS_50","WS_51","WS_52","WS_53","WS_54","WS_55","WS_56","WS_57","WS_58","WS_59","WS_60","WS_61","WS_62","WS_63","WS_64","WS_65","WS_66","WS_67","WS_68","WS_69","WS_70","WS_71","WS_72","WS_73","WS_74","WS_75","WS_76","WS_77","WS_78","WS_79","WS_80"
"BW_5",0.148301493000119,0.170135399297665,0.20104351381245,0.175878318295573,0.1465009387557,0.249335047694994,0.296362476709519,0.172616326852114,0.322418899664272,0.374208862668014,0.267108483876557,0.306440606073394,0.193602052362725,0.175537886753172,0.228730932820144,0.237033916405907,0.211369991813594,0.199319918160864,0.23355575756441,0.181690479822647,0.184759163249498,0.199119297353138,0.18790424802154,0.192198776722262,0.170578924634935,0.115793536960337,0.055868445938267,-0.0446230976688669,-0.0288591708394233,-0.12716452540926,-0.0839301914757139,-0.0803038336960574,-0.192693173790078,-0.277941786714903,-0.251220561426775,-0.332108330489599,-0.354251366881845,-0.426938497818071,-0.405171586991616,-0.421956056621795,-0.460650152205126,-0.486715972344084,-0.521243147155698,-0.552470667488456,-0.52237661184099,-0.554848532075885,-0.584939929613543,-0.599922028507701,-0.609947756322078,-0.581897977242217,-0.576494597861304,-0.521999147147384,-0.520901363028707,-0.40666143671887,-0.503861383379506,-0.50099149920252,-0.386606786560191,-0.564819254849165,-0.509021197563929,-0.612812092815714,-0.655557327199932
"BW_6",0.106130967113462,0.0928751546304808,0.0903501220713935,0.0349557954457004,0.07478312715132,0.166629516173947,0.1348031262743,0.155598946895591,0.219654646392108,0.200074065119518,0.194137497335707,0.186193607568305,0.26707292604117,0.163591775864473,0.217719230277284,0.265050692725587,0.170248679250423,0.0924119944303649,0.111328384482436,0.106927504795553,0.0202074824474064,-0.0776347086583739,-0.00379131401065663,0.0246649355062349,-0.158475454729097,-0.266451455230913,-0.202357708731712,-0.298038273764742,-0.389698807764779,-0.333873346220379,-0.391042324969176,-0.487753610188087,-0.465516449667302,-0.510115776041938,-0.482597500670935,-0.589329717139774,-0.626163935772457,-0.599182219647436,-0.680108630033057,-0.542115761149793,-0.635722917690721,-0.632076916265054,-0.440664583119859,-0.540487961971908,-0.624432624330964,-0.529584676225501,-0.558759874115626,-0.418957388025276,-0.57256290063482,-0.559636655718482,-0.547693321776126,-0.563968545905753,-0.574474403415879,-0.535894905673574,-0.596666360112974,-0.541726887437691,-0.513419763898216,-0.516681270983409,-0.469932027358594,-0.544653163809767,-0.691884472163272
"BW_7",0.114211896759482,0.0754714426773396,0.125370553013545,0.0182764821684004,0.110100650418495,0.0710820618137046,0.0537463065267135,0.119472071354678,0.128529595334547,0.0503061550835298,0.0616482862392624,0.0479155702289956,0.0418751926750625,0.0243450375451225,0.00654535555171501,0.0769520181383055,0.0765538846182395,-0.0178896999015724,0.0155222892180791,-0.0195291310686132,-0.096919614108797,-0.104859164624755,-0.170027585159032,-0.184693884873526,-0.238562645094372,-0.323484828779716,-0.371173984073953,-0.398410156601181,-0.548207624031513,-0.583361154463886,-0.588221338562084,-0.559789432411301,-0.619030953252672,-0.668032120665739,-0.472883389975361,-0.570133953926929,-0.566575956050884,-0.533904526514014,-0.550510092407082,-0.461221968570594,-0.528544318672143,-0.558626050829434,-0.451136399963996,-0.579630034378262,-0.600026136526124,-0.514212602377879,-0.569987172131213,-0.381260606730671,-0.456911283274361,-0.421105748540537,-0.294861272754773,-0.38524364177592,-0.383438156321694,-0.436003255793511,-0.499937226346242,-0.450741157923454,-0.430188404827456,-0.434924561709173,-0.477991823191881,-0.531902673109464,-0.534440811882044
"BW_8",0.237067954472618,0.211260381400929,0.231468372127426,0.169328389170714,0.247293403127437,0.164266284869578,0.159212216599427,0.198385558258736,0.182886778845625,0.10828599147424,0.136223447386869,0.0923081043549216,0.127222511204028,0.0949156063251775,0.0316668370313069,0.10940596426913,0.0570452252619886,-0.0636034094458512,-0.0346351435577779,-0.0436838321278286,-0.041180032302404,-0.0861615945606012,-0.175100290909195,-0.188933838501626,-0.308235582915935,-0.334725215964966,-0.355863176508546,-0.371118657072102,-0.42965014934748,-0.411055936410557,-0.449976694648422,-0.419699876462778,-0.461500200418154,-0.543459660184731,-0.539289502888608,-0.531803380222105,-0.578098876787444,-0.614729130134443,-0.596460033328301,-0.527906102230631,-0.556012747133028,-0.572459149261797,-0.484095066522267,-0.557681325933212,-0.598292274772632,-0.566863785600654,-0.50732853405455,-0.458992108767485,-0.389270583456057,-0.451699248438889,-0.336288585748517,-0.370828314691731,-0.385944080841257,-0.368994682717465,-0.490927371544469,-0.452831457153733,-0.474969879068282,-0.536544587687839,-0.590019639573142,-0.667752455254497,-0.65075924185882
"BW_9",0.191218804412163,0.18120461257798,0.2052210321332,0.176225621498126,0.190829225209922,0.180682652781778,0.159606400656159,0.158215994840158,0.175160331514983,0.0794512482136507,0.086805104611901,0.0859438074138156,0.137402686873414,0.150736421869332,0.123496774147277,0.15603569902047,0.132169447294074,0.0497120893083969,0.0718771926999595,0.060177941996133,-0.000963946074101149,0.0163138688847613,-0.0139558024894206,-0.0807401949618499,-0.164126501775113,-0.283197890038145,-0.273963821102847,-0.357786978808116,-0.393423639742611,-0.388735564873522,-0.496058590686888,-0.516008800511563,-0.58107958979026,-0.603913653073052,-0.618928289537455,-0.667202608244838,-0.615433390108517,-0.644172625023942,-0.64494112662807,-0.590695683218439,-0.605723546933629,-0.60795250737528,-0.606051744165324,-0.51128818938921,-0.606932362043085,-0.619218073933506,-0.587063408762689,-0.642582818462002,-0.617954422915805,-0.653400614933534,-0.582311142217268,-0.615059845003687,-0.616572207815094,-0.507309134452374,-0.574352548791094,-0.57498151638936,-0.471172456910909,-0.602253278709026,-0.595249537397693,-0.614794985750082,-0.691461236517355
"BW_10",0.231415145452202,0.216592245063665,0.233965160357084,0.226097421298029,0.210236383904449,0.220135792352516,0.228702934972358,0.224538243350565,0.232144758625038,0.157399264884907,0.134773738766503,0.182492138714127,0.18822956438714,0.186457145477718,0.240261035925781,0.183581327626103,0.0895714038123713,-0.00672601389007115,-0.0567410364148555,-0.075546470328938,-0.111206461719474,-0.154037978030594,-0.203279887168058,-0.139814694412655,-0.360732479223686,-0.464914559790812,-0.429319754546022,-0.48599088084087,-0.516162352508873,-0.568535030900802,-0.682250834732089,-0.678796662964877,-0.689333090617994,-0.670673195007386,-0.644808963995913,-0.686384850918931,-0.719079272179303,-0.70896804954766,-0.716827878774668,-0.696343609593733,-0.702778040877908,-0.696336173456128,-0.572489948155518,-0.545693205576439,-0.577152283806506,-0.638286104307219,-0.580632150704897,-0.591141271275124,-0.568807343781806,-0.504563405487926,-0.621305944795524,-0.623174939906019,-0.53866292898249,-0.545269588667547,-0.550003143264287,-0.574395862160947,-0.592836020645189,-0.633724890233193,-0.64877114459521,-0.636842612367377,-0.716084692168542
"BW_11",0.237243337860394,0.211019246280947,0.270870899895681,0.252885255940298,0.227033031276979,0.248397081086499,0.254372462727093,0.205611714612681,0.197613166831295,0.099224402635129,0.122614458468207,0.14308209140382,0.150388103769714,0.148298371350413,0.170608002212281,0.14301696308037,0.0541581670508116,-0.0679994231630936,-0.0843727564117225,-0.0886224129800118,-0.158445055011822,-0.167031604533618,-0.29124367193836,-0.189581376184771,-0.322176525175462,-0.411854702602647,-0.397490732473669,-0.420997961086799,-0.467604621294482,-0.510257582525395,-0.568822892547108,-0.569003439569955,-0.601910448729746,-0.62600602070668,-0.668889712473263,-0.623272226301975,-0.591387045878085,-0.645607609319911,-0.638549443191743,-0.723518649885996,-0.73652774739584,-0.707250083107949,-0.667963440429154,-0.659264986241605,-0.605191839638405,-0.606124535417058,-0.652762495699024,-0.586077161292369,-0.620945021145458,-0.646407029017938,-0.5731106729409,-0.574925247002577,-0.570765414100063,-0.529880254541062,-0.628810002408623,-0.607737038010195,-0.66430528768395,-0.631922614742585,-0.562203150910311,-0.639524861637276,-0.604761935236178
"BW_12",0.279221212632194,0.26438395011022,0.280793660328417,0.244679750098771,0.278858531699501,0.294943102237109,0.346679870836802,0.331189930834886,0.344042045928376,0.317072352469383,0.26247260363768,0.308946789887965,0.226222427626789,0.303818602339292,0.275373103103324,0.217110809728998,0.177207326075816,0.121038759362016,0.0409572535098469,0.000274083676217221,-0.0449977079493494,-0.160741548060514,-0.231370920470936,-0.267370468219029,-0.382081759207745,-0.480226824003975,-0.516498491299727,-0.544085989685795,-0.564184829352426,-0.617241942781164,-0.650754771648326,-0.666643118382567,-0.661084553814221,-0.66342936573492,-0.695793693896827,-0.699290043485593,-0.695820407744015,-0.760483374147509,-0.757185430778876,-0.78359311216372,-0.770470267373287,-0.776765037277021,-0.781244065095307,-0.72362834819783,-0.723458443719482,-0.772853811135792,-0.741157922655777,-0.776948133536035,-0.719160756657662,-0.690202970291523,-0.661866458569813,-0.703487791270952,-0.702834017313302,-0.70753044707577,-0.626930321385917,-0.65779302465041,-0.65695403322544,-0.437728950219352,-0.58352941398049,-0.569211612919217,-0.599693177948549
"BW_13",0.205191736255306,0.20780050720905,0.248279665316536,0.251554043085592,0.259915639891621,0.273212938130979,0.307287679568512,0.292864303502432,0.294951760963214,0.299794214730737,0.293699267121025,0.265135160523734,0.247374735659338,0.277694199127401,0.242800596357452,0.191042351563749,0.0477373928209223,-0.0371910992018612,-0.0889812024173806,-0.10017529547924,-0.111097397388933,-0.192643141774988,-0.255280827307559,-0.317178202749658,-0.391460519831734,-0.495989334436895,-0.550714714544017,-0.557780322641679,-0.574064512601779,-0.615187982489057,-0.590247584803279,-0.638367035289085,-0.617531645844356,-0.644851100785407,-0.651025342195505,-0.65104042025118,-0.657449509916037,-0.71995052812105,-0.690826949785522,-0.730726522237874,-0.756845732061417,-0.80392348593154,-0.800585013336221,-0.752590217943991,-0.734346688007045,-0.750099423569129,-0.762358990050767,-0.776036193007638,-0.720668095248261,-0.7240774085544,-0.652391120183484,-0.621937434234367,-0.620030768771794,-0.601616100301201,-0.545905398069861,-0.567577568433665,-0.611042144836693,-0.586113551503911,-0.680435732431252,-0.647315233966932,-0.666067097762318
"BW_14",0.193653739568557,0.229241572669703,0.26238050472738,0.252302450959408,0.264964275747119,0.289165368332783,0.278570905650267,0.2672917722668,0.321049964187974,0.293044026342123,0.267021853161454,0.222195459109144,0.250352717912204,0.200524420030966,0.16305193635422,0.139823516051716,-0.0194886559062385,-0.0648983329417857,-0.137994653409822,-0.0992108365214241,-0.151464391636483,-0.145302160900443,-0.143625463439568,-0.226676585528632,-0.333083039090058,-0.421640667360712,-0.46005333198302,-0.546710929318056,-0.621140275364685,-0.650976500954997,-0.635634737146549,-0.660719339554458,-0.691973953201831,-0.703893536795284,-0.631032487205215,-0.674636155283775,-0.690339577314777,-0.670454299375885,-0.635264718243598,-0.632714887984066,-0.583361012459886,-0.580247774454636,-0.637190669659706,-0.554306542013716,-0.581846101641035,-0.536840109559889,-0.601933566951013,-0.655554263831453,-0.671438859871272,-0.685433446431046,-0.715056285964804,-0.685329454440235,-0.708698826997806,-0.621886360294821,-0.599435029429671,-0.595226902861758,-0.461476671832564,-0.482404460127707,-0.47564270333117,-0.520406217638799,-0.535153157033127
