"","WS_20","WS_21","WS_22","WS_23","WS_24","WS_25","WS_26","WS_27","WS_28","WS_29","WS_30","WS_31","WS_32","WS_33","WS_34","WS_35","WS_36","WS_37","WS_38","WS_39","WS_40","WS_41","WS_42","WS_43","WS_44","WS_45","WS_46","WS_47","WS_48","WS_49","WS_50","WS_51","WS_52","WS_53","WS_54","WS_55","WS_56","WS_57","WS_58","WS_59","WS_60","WS_61","WS_62","WS_63","WS_64","WS_65","WS_66","WS_67","WS_68","WS_69","WS_70","WS_71","WS_72","WS_73","WS_74","WS_75","WS_76","WS_77","WS_78","WS_79","WS_80"
"BW_5",0.722430866037423,0.732265057457205,0.736853117589622,0.736710202211147,0.731624271037865,0.743583544255978,0.753012700524419,0.759731532950036,0.760356602461866,0.760342680176389,0.76460498960499,0.765550708735872,0.749345194879194,0.745600301801377,0.757485583141271,0.759111565895206,0.761337751087182,0.771426738516808,0.773874620270644,0.765447465485149,0.755824067326453,0.765541567840418,0.778063248573696,0.773004854115559,0.771022727272727,0.777047983944536,0.785357324979966,0.798133373475839,0.809179537736883,0.820496540496541,0.830869889484033,0.850713579200226,0.863903472414111,0.880660731111667,0.882242542826339,0.88975884747886,0.877428802482897,0.875263398992213,0.869521337946944,0.862194290906337,0.848918380889184,0.841702269322532,0.832587523032377,0.81991662806855,0.816703669844587,0.814730290456432,0.815854150618099,0.836653541772251,0.852817770464829,0.870738449387916,0.884057971014493,0.873266331658291,0.857405008635579,0.859575704736995,0.874333061326973,0.86436348971636,0.865790434465133,0.868800254756787,0.859707215057511,0.883908045977012,0.897810218978102
"BW_6",0.741970524921345,0.748846438740631,0.747524061933324,0.75197628458498,0.746744030416014,0.749144346643497,0.758628157727828,0.767270240395703,0.772592319960741,0.775642104554482,0.781826056826057,0.782803008001713,0.775151409324425,0.771970197114024,0.780980443640537,0.779195634072692,0.779457444605508,0.783016850568814,0.773675780171224,0.764419727992144,0.757822233714944,0.767049808429119,0.779297489956046,0.771099744245524,0.77034632034632,0.771237702272185,0.772419319589131,0.781725124190878,0.790714050983522,0.803272283272283,0.817241846904875,0.836830577928501,0.850824352952012,0.870122877526297,0.870063490795831,0.876939137697045,0.865932288593098,0.863628034814475,0.858612072279892,0.850735720956059,0.835169210351692,0.827109804139155,0.82083004299377,0.804600895476301,0.797701449653911,0.792876901798064,0.794871794871795,0.814276246540096,0.836199095022624,0.857136589004432,0.872144833732001,0.860603015075377,0.846070811744387,0.846323743097937,0.85964471784571,0.855088049469015,0.849288061336254,0.854947854470185,0.847507842453817,0.875287356321839,0.891251454564688
"BW_7",0.754369928796158,0.756675025313789,0.755726042683777,0.757346623131122,0.756789551481457,0.758195761399267,0.76588339031295,0.776574341357126,0.775863902179692,0.777931127343724,0.787266112266112,0.785247232406491,0.780187664850061,0.778741865509761,0.786893057541014,0.789287828171868,0.784178919030855,0.780258318364554,0.772173432753383,0.759532265247628,0.759044641387903,0.761770966368667,0.765746023349832,0.757346416827601,0.755627705627706,0.75554713485748,0.757179281707583,0.76552762306187,0.769995148897548,0.78015466015466,0.796325174588108,0.813762893881588,0.832329372754905,0.855162202180643,0.857085812402667,0.862908445557991,0.851987847791402,0.847640861200183,0.841983852364475,0.831604452184447,0.817013934970139,0.809576652055706,0.801877687110643,0.783047707271885,0.779352226720648,0.772199170124481,0.773742709365027,0.789014073525399,0.810119292472234,0.833179763941907,0.852539749542704,0.842914572864322,0.827720207253886,0.832141819238593,0.844830832967171,0.84487162252991,0.837751004016064,0.845076028978584,0.835482746601603,0.868773946360153,0.884481117105681
"BW_8",0.742500413975824,0.746739787839867,0.735472171851025,0.723692501575299,0.717063413270972,0.722322541649352,0.727750877898612,0.73565220157295,0.738813233550076,0.743679940754704,0.753655578655579,0.756523135386839,0.751991986104346,0.752862397434688,0.760052902334899,0.768180495781543,0.76612135017602,0.762851766315969,0.753924330295499,0.750099918922931,0.745222031547521,0.738441890166028,0.739877331519754,0.734641682760061,0.730952380952381,0.730734144527248,0.733634443068405,0.744814090019569,0.74617780072923,0.755376475376475,0.77174723710082,0.789529461636287,0.8090816984434,0.834086495009903,0.836640977518668,0.840776699029126,0.830743339234586,0.822400366468163,0.815167243367935,0.799045960475505,0.783729263437292,0.779503967153082,0.76982246790091,0.752601513046163,0.751599843280658,0.748893499308437,0.747184622721103,0.763985809520097,0.781982723159194,0.804835241981484,0.826462173444022,0.822713567839196,0.810880829015544,0.816216216216216,0.822861088443914,0.830487968813012,0.824023366192041,0.829472175782183,0.824851864761241,0.860344827586207,0.880672802284989
"BW_9",0.660168902136115,0.67518161369459,0.665197377597991,0.65853239388211,0.648215559526698,0.647614370443126,0.64593227418282,0.642595287512624,0.642203410624463,0.654408051974282,0.667740817740818,0.668049348355501,0.670860482855594,0.675393756484014,0.689334928183136,0.700624993729999,0.705653344377718,0.705564109143786,0.693962993648164,0.684621621312992,0.681609816873927,0.673952441768534,0.677082152617725,0.677801555404771,0.684280303030303,0.692448037275623,0.697996648940045,0.70633749811832,0.713127709184232,0.721253561253561,0.739575564445047,0.758336865903632,0.771428571428571,0.799473107320732,0.805813999920137,0.809917527925671,0.794374139400695,0.780439761795694,0.769559784698193,0.751444940814215,0.741738553417385,0.735504632968984,0.725015354917961,0.709742164582368,0.712485307561708,0.714730290456432,0.712189574850519,0.731706366223539,0.748663101604278,0.767627572287306,0.787252005065428,0.787638190954774,0.782491364421416,0.789596047660564,0.805034210030758,0.813550208361339,0.803870025556773,0.812753761643181,0.815789473684211,0.852107279693487,0.873479318734793
"BW_10",0.550813048517967,0.553865704402901,0.551680848095969,0.555622386435241,0.546848456769696,0.546537720524347,0.54401868725152,0.539295910171688,0.53371774424406,0.535496684283166,0.549428274428274,0.54887110730502,0.545321704607071,0.541054418560785,0.541694625161673,0.550064706413459,0.561834748395113,0.574950816867676,0.574040320353494,0.560493770768862,0.559580620136816,0.549595572584078,0.550534628027355,0.557231588287489,0.559307359307359,0.573772332393022,0.585138777591608,0.601475237091675,0.621019357463656,0.642653642653643,0.672282866635026,0.695386463190618,0.712112001473703,0.744553198853912,0.751986583077107,0.755882659985385,0.729941206041134,0.713742556115437,0.709678969627067,0.689558567426365,0.678088918380889,0.670698551850413,0.665759995320406,0.658360352014822,0.667885594880501,0.673167358229599,0.667510362789333,0.6733850532143,0.68951048951049,0.714360931946821,0.731344683645232,0.732663316582915,0.738773747841105,0.755768671897704,0.775155357479129,0.789353407716091,0.777290982110259,0.786959636971579,0.800453119553852,0.840038314176245,0.867555273458161
"BW_11",0.481265110117569,0.477401072353265,0.477946715023016,0.481783811651486,0.485825225582986,0.483389369498697,0.478675185248209,0.464115593514167,0.448689322373533,0.442269498771333,0.448613998613999,0.441699895629834,0.423238459346941,0.422295576723569,0.413717653236864,0.40514240426962,0.396438185959826,0.395646223590796,0.385363159348246,0.38602962167841,0.399680293377842,0.415508118956395,0.423055125250312,0.433216764966856,0.437770562770563,0.440781440781441,0.422801777518759,0.428782176727382,0.438617905262664,0.478095238095238,0.521086175333921,0.555461353680938,0.593920972644377,0.641559140818799,0.66226091123268,0.67528969621046,0.649247043909689,0.640494732020156,0.635861207227989,0.619191842709674,0.607803583278036,0.609110580924374,0.607382059606329,0.605496371777057,0.611336032388664,0.616320885200553,0.614027365100326,0.614673891856068,0.620979020979021,0.643982273704533,0.658458796491722,0.670854271356784,0.687068221070812,0.715896541702993,0.741008097420124,0.760586100282296,0.750273822562979,0.761483958283576,0.791913558731265,0.828735632183908,0.861419655135936
"BW_12",0.442662692498758,0.43639613191712,0.433296136141721,0.433651257375265,0.433876791610593,0.428461335045899,0.421963708367495,0.408593172221294,0.389113810166442,0.377941225973676,0.3745148995149,0.360862079731671,0.338228671733556,0.321927756295388,0.304489891180675,0.279642058165548,0.247235452474632,0.224339235309212,0.208019884009942,0.206152721791461,0.200075225087567,0.210630663504227,0.240286646263901,0.27287436713816,0.281493506493507,0.269111476008028,0.256268667589422,0.245551708565407,0.222634305118696,0.217256817256817,0.209641331615703,0.235092553341812,0.289711706732983,0.34146106955368,0.386135846344288,0.458064516129032,0.483225143706424,0.502748511223088,0.517781622452903,0.521516367582847,0.523025879230259,0.532874660156467,0.538475037290515,0.527867840049406,0.525597492490532,0.521507607192255,0.52012031840358,0.524229074889868,0.522830111065405,0.544557061998157,0.558557290933821,0.589045226130653,0.612262521588946,0.648474280732345,0.677986315987697,0.700900658690684,0.698430083972253,0.727091792054773,0.764552108748693,0.81455938697318,0.851898868084206
"BW_13",0.425838715019043,0.416484883080875,0.4114381364207,0.40553932519906,0.401063383855097,0.392557893543878,0.383490865213558,0.368513968079777,0.349674886516992,0.337950651361632,0.330942480942481,0.313333511743874,0.288196965380338,0.267773271715552,0.24234909706217,0.213210140347709,0.181880306481673,0.158006158583526,0.127467550400442,0.106210960249398,0.0879428289334493,0.0949340144742444,0.110892809914233,0.12868625711154,0.139042207792208,0.136008308422102,0.112872441174328,0.0970043654975162,0.062704411373488,0.0361579161579162,0.00430537663570412,0.00105977108944468,0.0119554204660588,0.0284406668846028,0.0416084334943896,0.106963148554129,0.153235853386663,0.227897388914338,0.29123414071511,0.329396027359229,0.357292634372926,0.396992731509737,0.417273551519406,0.4205959549174,0.4217709285621,0.424135546334717,0.410366457576758,0.414291840474056,0.416042780748663,0.432670791101751,0.449931991932836,0.490150753768844,0.523747841105354,0.5487358326068,0.590860586278325,0.623202043285388,0.624096385542169,0.691903510866969,0.729871035203904,0.791379310344828,0.839416058394161
"BW_14",0.419427057459844,0.407188436525249,0.397196261682243,0.387036718794753,0.376074598657165,0.367987609081637,0.361787045774485,0.342939618770427,0.325726904674273,0.312889218029421,0.303187803187803,0.28468077894042,0.255865675345324,0.230142412524757,0.202244459355642,0.171316499633832,0.137357630979499,0.111923701992986,0.0837006351836509,0.0599399344531866,0.0373539575448412,0.0289119990269416,0.0382740771526807,0.0517250378412234,0.0586038961038961,0.0461875289461496,0.0260071392146864,0.00704500978473581,-0.0364458632615057,-0.0767928367928368,-0.112482202183199,-0.136463190617493,-0.153799392097264,-0.178201257619753,-0.178492992053668,-0.134565194696732,-0.0734159508666098,-0.0109482363719652,0.0373894655901576,0.0873526665152318,0.131625746516257,0.150474393830106,0.17984264865023,0.230631465184499,0.282225414653258,0.302904564315353,0.302960272917354,0.310826088651515,0.317153434800494,0.320170242639638,0.318606069133718,0.33678391959799,0.371653713298791,0.412612612612613,0.468708806729019,0.538647667697271,0.559839357429719,0.648594857097365,0.698849773440223,0.761877394636015,0.808949539828626
