"","WS_20","WS_21","WS_22","WS_23","WS_24","WS_25","WS_26","WS_27","WS_28","WS_29","WS_30","WS_31","WS_32","WS_33","WS_34","WS_35","WS_36","WS_37","WS_38","WS_39","WS_40","WS_41","WS_42","WS_43","WS_44","WS_45","WS_46","WS_47","WS_48","WS_49","WS_50","WS_51","WS_52","WS_53","WS_54","WS_55","WS_56","WS_57","WS_58","WS_59","WS_60","WS_61","WS_62","WS_63","WS_64","WS_65","WS_66","WS_67","WS_68","WS_69","WS_70","WS_71","WS_72","WS_73","WS_74","WS_75","WS_76","WS_77","WS_78","WS_79","WS_80"
"BW_5",-0.413306838880609,-0.403817795084028,-0.398186636908913,-0.391404594145615,-0.386840808642384,-0.382478939216501,-0.377689773061275,-0.36825949694237,-0.351098024782235,-0.341182212946444,-0.328083853083853,-0.328766023496668,-0.333523265111064,-0.359124776006791,-0.378494811875796,-0.389251712964356,-0.411638020294057,-0.423274313574544,-0.434410383871859,-0.448264836532642,-0.464961564681821,-0.484911512497719,-0.512701351368371,-0.54535727334412,-0.584659090909091,-0.622836933181761,-0.658279303562322,-0.682131567063074,-0.715537611692722,-0.753422873422873,-0.797240490880738,-0.814857990674015,-0.809781707654048,-0.820318058573544,-0.826817873257996,-0.824324042175592,-0.815356370074094,-0.806413192853871,-0.801422529796232,-0.790616087428384,-0.779800928998009,-0.763080508239472,-0.763388026088737,-0.762235602902578,-0.764529188977406,-0.769502074688797,-0.792964307985767,-0.831273634556158,-0.844755244755245,-0.847571409767013,-0.849256601472726,-0.842914572864322,-0.833765112262522,-0.823539668700959,-0.832402234636872,-0.84688802258368,-0.863745892661555,-0.882811878035188,-0.893516904844894,-0.891379310344828,-0.891463027610282
"BW_6",-0.419347574101672,-0.412271581279349,-0.407197656576928,-0.401558114223521,-0.397724682124709,-0.392648558800196,-0.386074284918707,-0.372649124062632,-0.356888725309778,-0.345692934325243,-0.331548856548857,-0.334296750252005,-0.339533686851513,-0.362595491841932,-0.383434956384748,-0.397899298763054,-0.419942016980741,-0.430587631511419,-0.444043082021541,-0.455778739537061,-0.469780671854063,-0.48919296965274,-0.512625785569451,-0.547340675400595,-0.592424242424242,-0.630948872328183,-0.664690026954178,-0.690170103868734,-0.723424565356869,-0.765242165242165,-0.810495626822158,-0.832485516461778,-0.8337293911762,-0.840586120031537,-0.84490676037216,-0.841319553189268,-0.841627871396411,-0.84168575355016,-0.831939638600538,-0.826556624012519,-0.815580623755806,-0.801309437940409,-0.796028194554123,-0.793978693839741,-0.795220060075748,-0.801659751037345,-0.816367704779722,-0.846633659506452,-0.859646236116824,-0.86196305559212,-0.862952019136063,-0.861608040201005,-0.849525043177893,-0.839814007555943,-0.847090578118135,-0.860196262938567,-0.876597298284045,-0.896186609346389,-0.900487974904148,-0.898659003831418,-0.900137522479636
"BW_7",-0.416247723132969,-0.413005511270582,-0.40729529920491,-0.407887953256573,-0.399769085386929,-0.390653923161195,-0.381866559410918,-0.369436425952875,-0.355007565533881,-0.344380112431413,-0.330093555093555,-0.331638433198633,-0.337879442335793,-0.354956144487409,-0.380556446985831,-0.394508482057764,-0.417312072892938,-0.429903344452998,-0.44002209334438,-0.453677587329139,-0.471167634406074,-0.490968801313629,-0.509099381619879,-0.536431964089984,-0.585335497835498,-0.627749007059352,-0.667603992132294,-0.698178533794972,-0.735912241991769,-0.778363858363858,-0.822123533798902,-0.841458245019076,-0.845776918117344,-0.855239120819953,-0.860080661262628,-0.85752166196889,-0.859156776604813,-0.859184608337151,-0.855296039984621,-0.854269200676409,-0.844883875248839,-0.833157631914775,-0.825392647187857,-0.821028253821213,-0.822188846806843,-0.825103734439834,-0.835589303400462,-0.857081595259444,-0.871657754010695,-0.875038392347857,-0.876835045260541,-0.875979899497487,-0.86582469775475,-0.851438535309503,-0.859770259242985,-0.871488103239683,-0.88565169769989,-0.90335164397739,-0.907633321714883,-0.902490421455939,-0.904792129482704
"BW_8",-0.40896174863388,-0.40516333340129,-0.402594504114939,-0.400326516583605,-0.39079724373258,-0.380091420800121,-0.369862166050462,-0.358446453706133,-0.344342207500102,-0.335762614871916,-0.321777546777547,-0.322093469282165,-0.326207828252658,-0.342412524757144,-0.365366475090197,-0.384215647916855,-0.406460965003106,-0.420023950047045,-0.433283623308478,-0.449155542359914,-0.469827687533793,-0.492063492063492,-0.515925492122265,-0.527167388694608,-0.569264069264069,-0.614023269195683,-0.660639615356596,-0.69474634954087,-0.739104580379638,-0.787317867317867,-0.822733744660655,-0.842694644623428,-0.851929630653035,-0.863738630463627,-0.870103422113964,-0.867794132999269,-0.870522151552904,-0.87036188731104,-0.871635909265667,-0.874309078518967,-0.868029197080292,-0.859401875381457,-0.847854698604896,-0.840666975451598,-0.842039963432154,-0.840387275242047,-0.847547778878251,-0.867217652333242,-0.878733031674208,-0.885744372778728,-0.886778293701046,-0.887336683417085,-0.877806563039724,-0.861086893344958,-0.867553825874082,-0.880763543487028,-0.89324571011318,-0.911312793567391,-0.913384454513768,-0.905172413793104,-0.909235163440178
"BW_9",-0.398655406524259,-0.395676608699789,-0.390068349839587,-0.383728590250329,-0.376486420897037,-0.368048052585849,-0.357888711848151,-0.34413245222702,-0.332204637467795,-0.321590870838523,-0.311243936243936,-0.314189882338249,-0.315712565825146,-0.330547958125059,-0.352938316266496,-0.376591326330996,-0.398467591633879,-0.412090496963476,-0.426191659762497,-0.442212604629386,-0.462751827734549,-0.488755093352794,-0.513104368962607,-0.52651495380761,-0.553517316017316,-0.592746972057317,-0.641844539957747,-0.681710070751167,-0.73447255997371,-0.779210419210419,-0.824666079056207,-0.844955489614243,-0.857529704338215,-0.87031517412457,-0.879087968693847,-0.877440233844869,-0.878915043822263,-0.879477782867613,-0.881776239907728,-0.887685823174579,-0.881937624419376,-0.877323420074349,-0.864642742242111,-0.858761772425506,-0.856993600626877,-0.853388658367912,-0.859432889475808,-0.879848738840591,-0.888029617441382,-0.895836075643895,-0.89662773791098,-0.897688442211055,-0.886118307426598,-0.869456553327521,-0.873077647354215,-0.886947170318591,-0.899379335523914,-0.915930260329591,-0.918089926803765,-0.909961685823755,-0.9119856130329
"BW_10",-0.386706408345753,-0.383770633286443,-0.37610545403822,-0.371827920032079,-0.362881579044131,-0.355460692833667,-0.34333183794069,-0.329770737409643,-0.320901320901321,-0.311576396135591,-0.302529452529453,-0.307231871258954,-0.310253558923271,-0.323757427143261,-0.342046659081405,-0.368164444578205,-0.388113481051978,-0.400671456676076,-0.413156586578293,-0.434013543296297,-0.4546181151414,-0.479851608587241,-0.506202692661301,-0.527089096508168,-0.549485930735931,-0.582221099462479,-0.626429664165513,-0.666867379196146,-0.722579534607139,-0.775531135531136,-0.821886229574887,-0.847675568743818,-0.863571889103804,-0.876699421187239,-0.885756498822026,-0.884288547865121,-0.884991148121435,-0.887356848373798,-0.889753940792003,-0.89969965422377,-0.894890510948905,-0.88742162791988,-0.877394636015326,-0.870804384746024,-0.870902442209743,-0.862448132780083,-0.869043688786178,-0.886476160773459,-0.89683257918552,-0.903470668246238,-0.904976314431781,-0.904824120603015,-0.893566493955095,-0.876780005812264,-0.879103634423451,-0.890173410404624,-0.902738225629792,-0.918159382214792,-0.92140118508191,-0.909003831417625,-0.912831905215276
"BW_11",-0.376797483026991,-0.374773195245765,-0.368935695355001,-0.362705504955032,-0.351394680139137,-0.343009330965963,-0.331033522577851,-0.321023292061296,-0.314243651085756,-0.305399400814623,-0.296534996534997,-0.302860813016833,-0.305915762193161,-0.317212109780251,-0.335959000690453,-0.355805018007444,-0.373389935804514,-0.385788213155419,-0.39875172604253,-0.420447408388622,-0.439291003549684,-0.466034178677857,-0.493784713038879,-0.521869617412182,-0.546617965367965,-0.579863304001235,-0.622437531871494,-0.663284660544935,-0.714285714285714,-0.772340252340252,-0.820631907247949,-0.851702698883708,-0.870019342359768,-0.882237563217507,-0.892145509723276,-0.889591815429585,-0.891198391362315,-0.895098488318827,-0.896337946943483,-0.905252265212892,-0.900889183808892,-0.894801087499306,-0.887280278435846,-0.881673614327621,-0.881154499151104,-0.872475795297372,-0.877700744653534,-0.893649370394916,-0.903331962155492,-0.907770611206178,-0.909009896346325,-0.912562814070352,-0.897452504317789,-0.880267364138332,-0.882242169355345,-0.892324237128646,-0.906535231836437,-0.919751612132792,-0.922795399093761,-0.910727969348659,-0.913678197397652
"BW_12",-0.370981950654082,-0.368494016431877,-0.360036267261822,-0.351563842584636,-0.340819673336716,-0.332189943711987,-0.32288105440651,-0.316379193803628,-0.30837116100274,-0.297286834752752,-0.288461538461538,-0.29618825880233,-0.298949554732518,-0.309535037253607,-0.32493119779055,-0.341960855127858,-0.358107268585628,-0.368766572577196,-0.378713062689865,-0.399001952701237,-0.416229812642516,-0.44015082405887,-0.473759776325235,-0.507020199384101,-0.539177489177489,-0.574193367296816,-0.615094339622641,-0.655155803101009,-0.708276606732078,-0.76963776963777,-0.816835039663706,-0.850501624982337,-0.875435203094777,-0.888929484837413,-0.896937267899213,-0.894059922747677,-0.896575087972374,-0.900916170407696,-0.902297193387159,-0.910653441356856,-0.907790311877903,-0.901736669810797,-0.894884618759323,-0.890813648293963,-0.889251665143006,-0.882918395573997,-0.885477421958109,-0.899263186620405,-0.90662278897573,-0.910490983282875,-0.914450541719432,-0.916180904522613,-0.896804835924007,-0.882824760244115,-0.883246500533551,-0.894071783841914,-0.906973347937203,-0.919273943157392,-0.922969675845242,-0.911111111111111,-0.9119856130329
"BW_13",-0.36695479384004,-0.363071089274429,-0.351094992328079,-0.341109583548147,-0.33233319360793,-0.326644252200521,-0.31940039911514,-0.313420966831278,-0.302335091808776,-0.290386104285185,-0.283419958419958,-0.288106261317919,-0.293178079422117,-0.302216353862114,-0.314409078974239,-0.327153620047953,-0.339034996893767,-0.350804037293645,-0.3613256006628,-0.382169896426899,-0.40177249112579,-0.424654868333029,-0.456228510975932,-0.489978600135706,-0.527570346320346,-0.565576186265841,-0.60827566110585,-0.649164534096041,-0.703675883761326,-0.767260887260887,-0.813953488372093,-0.850077716546559,-0.878603665837708,-0.894313789589062,-0.901409575530088,-0.898319240004176,-0.90426857255262,-0.907420980302336,-0.907151095732411,-0.91676131344489,-0.914213669542137,-0.908394828829828,-0.901553040273756,-0.898100972672534,-0.897805929215097,-0.891355463347165,-0.894061112945233,-0.904487154496901,-0.910818593171534,-0.91286033960774,-0.916701843253131,-0.916482412060301,-0.90036701208981,-0.885847137460041,-0.88387420751993,-0.892458663798898,-0.906535231836437,-0.918796274181992,-0.918264203555246,-0.904022988505747,-0.906484713847456
"BW_14",-0.362755423083292,-0.356139528246111,-0.344008927325987,-0.333319012430544,-0.325376339341526,-0.322881644063315,-0.316631344461117,-0.310383217628488,-0.29642988590357,-0.283956643215404,-0.27972972972973,-0.280398925968546,-0.287241179660145,-0.293841365651231,-0.304626036895489,-0.31399163331026,-0.325119072271692,-0.334894363185356,-0.347870753935377,-0.372943097600804,-0.397047415313007,-0.419886881955847,-0.451820506038967,-0.480818414322251,-0.516937229437229,-0.557380040138661,-0.602068915276462,-0.645250639771188,-0.701015601771435,-0.766609686609687,-0.814122991389247,-0.851844001695634,-0.882435295201253,-0.89985193161933,-0.905921814479096,-0.904123603716463,-0.909077000415274,-0.914841960604672,-0.913062283737024,-0.921859619898538,-0.921698739216987,-0.917549797480996,-0.905823169840017,-0.906005866913695,-0.907274389447564,-0.901244813278008,-0.903305087854444,-0.911426455108963,-0.915261209378856,-0.917248036505638,-0.921485859012241,-0.919095477386935,-0.902310017271157,-0.888172043010753,-0.886761659657272,-0.893937357171663,-0.905366922234392,-0.917204044263992,-0.91617288253747,-0.899233716475096,-0.905849994710674
