"","WS_20","WS_21","WS_22","WS_23","WS_24","WS_25","WS_26","WS_27","WS_28","WS_29","WS_30","WS_31","WS_32","WS_33","WS_34","WS_35","WS_36","WS_37","WS_38","WS_39","WS_40","WS_41","WS_42","WS_43","WS_44","WS_45","WS_46","WS_47","WS_48","WS_49","WS_50","WS_51","WS_52","WS_53","WS_54","WS_55","WS_56","WS_57","WS_58","WS_59","WS_60","WS_61","WS_62","WS_63","WS_64","WS_65","WS_66","WS_67","WS_68","WS_69","WS_70","WS_71","WS_72","WS_73","WS_74","WS_75","WS_76","WS_77","WS_78","WS_79","WS_80"
"BW_5",0.159768173538665,0.136517774017519,0.107197656576928,0.0895199633384888,0.0651193916797199,0.0442068678931661,0.0315270021502715,0.0166758117231672,0.00789269210321842,-0.0134311778368735,-0.0326056826056826,-0.0375464982471164,-0.0447656946448429,-0.0533999811374139,-0.0592331106378427,-0.0513738826857676,-0.0594325947401118,-0.0746514412796168,-0.0865506766086716,-0.0923022461773875,-0.109264439690637,-0.11692513531594,-0.125023614312162,-0.139647163213111,-0.130627705627706,-0.115882840020771,-0.100254971953085,-0.0829143459280446,-0.0585105550600128,-0.00691900691900692,0.03888399213506,0.103610286844708,0.149451966473243,0.229544449358691,0.285908237830931,0.332331141037687,0.370052237011781,0.439257901969766,0.517012687427912,0.574619519951541,0.597133377571334,0.574987515951839,0.549296598520079,0.545159796201945,0.567650515867833,0.62088520055325,0.672425809764865,0.700128649955167,0.717317976141505,0.673994120486157,0.633319262698748,0.598994974874372,0.584844559585492,0.616506829410055,0.633419119954805,0.66339561769055,0.705878057685287,0.748427672955975,0.786336702683862,0.78448275862069,0.785041785676505
"BW_6",0.1649478390462,0.144101717260267,0.116180778351234,0.097267571747723,0.0717085475176679,0.0535907219221034,0.0395402441099578,0.0239441435853393,0.0120639594323805,-0.00727101356582624,-0.0297990297990298,-0.032176340978225,-0.0344726176581412,-0.0386683014241253,-0.0467466036506501,-0.0409606645198182,-0.0537585421412301,-0.0739243862800445,-0.0887379177022922,-0.0911146384076921,-0.106302451867698,-0.113738368910783,-0.119557688190325,-0.130069419071977,-0.121807359307359,-0.103728965797931,-0.0916587746776426,-0.0730995032364895,-0.048683160415004,0.00532356532356532,0.0529188419553868,0.123180726296453,0.175389149857235,0.255081437609369,0.309307990256758,0.351999164839754,0.387668568181322,0.450939074667888,0.52681660899654,0.581232174856768,0.599522229595222,0.582256006214282,0.554151677341991,0.547383047707272,0.567781115319316,0.621991701244813,0.670371593118374,0.701688043351136,0.719539284245167,0.674345136237989,0.637728061535575,0.599195979899497,0.58236183074266,0.612554489973845,0.633921285543908,0.66151364430703,0.702227090178897,0.750338348857575,0.78738236319275,0.783908045977012,0.790331111816355
"BW_7",0.166987911905945,0.148396566838597,0.121662714465058,0.100675946611674,0.0780035446128503,0.0585773110196064,0.0452175796296583,0.0290812796717322,0.0169876906719012,-0.00378698623220116,-0.0269057519057519,-0.0301246197625356,-0.0313295530782733,-0.0294633594265774,-0.038597310149663,-0.0367873516517691,-0.0534065023814454,-0.0751860405440082,-0.0898425849212925,-0.094129335053842,-0.109029361291991,-0.1168035030104,-0.120036271583481,-0.124249699879952,-0.117180735930736,-0.0994905477664098,-0.0869964303926568,-0.067620051181695,-0.0443328169256529,0.0113471713471713,0.0603091735032884,0.131623569309029,0.190936722851616,0.269849816356749,0.319290819789961,0.365194696732435,0.396498590256377,0.454924415941365,0.52859477124183,0.581888392519119,0.597451891174519,0.58336569938412,0.555204586002164,0.547321290721013,0.567585216142092,0.618603042876902,0.664575767580059,0.699270983587384,0.717976141505553,0.671537010223334,0.636133389615872,0.596381909547739,0.574589810017271,0.607323452484743,0.627518674282845,0.654254604113456,0.696093464768164,0.748586895947775,0.785639595677937,0.779310344827586,0.791600550089919
"BW_8",0.167464812054976,0.149375140160241,0.123141302831636,0.104055679670046,0.0802538589950066,0.0600430659967512,0.0473523815416983,0.0318963666292912,0.0176910808489756,-0.00350085838354597,-0.0260568260568261,-0.029803480789645,-0.0322485778092288,-0.0290672451193059,-0.0374886950433235,-0.0345201191801848,-0.0552495340650238,-0.0774313574544521,-0.0935542667771334,-0.0977378355848397,-0.111850302075742,-0.120501125098826,-0.120917872570874,-0.12505871913983,-0.116964285714286,-0.100416824554756,-0.0872295476069061,-0.0706608460033118,-0.0447396835829304,0.0128123728123728,0.0604786765204421,0.132718666101455,0.19421571336465,0.272965021248774,0.322365531286188,0.368410063680969,0.396717155159225,0.452450755840586,0.522971933871588,0.580071174377224,0.591028533510285,0.578372080119847,0.554210172267556,0.544480469353096,0.565299725741152,0.615352697095436,0.660393969406845,0.694514833729679,0.714273961332785,0.665306480628318,0.632099807701327,0.591859296482412,0.566709844559586,0.596861377506539,0.622120394199988,0.645382443876865,0.68995983935743,0.744606321152774,0.782328337399791,0.772988505747127,0.790754257907543
"BW_9",0.166669978473257,0.149089722941428,0.123169200725345,0.104485306753738,0.079636125635199,0.0598617354841147,0.0479866342836811,0.0311647621092476,0.0162515846726373,-0.00408994513077726,-0.026039501039501,-0.030481440843525,-0.0321382948415142,-0.0299726492502122,-0.0379165815755949,-0.0367070956350759,-0.0580244357009733,-0.0798905140706526,-0.0970450151891743,-0.101163627228192,-0.115047368297327,-0.126971963753573,-0.12409163612549,-0.12884284148442,-0.118425324675325,-0.102746551022413,-0.0879871785532163,-0.072858648201114,-0.0466175296934416,0.013984533984534,0.0594616584175198,0.131199660873251,0.19439992631482,0.270542084110532,0.32068841592461,0.367700177471552,0.392739273927393,0.447869903802107,0.515090349865436,0.575225259332172,0.584658261446583,0.573766853465017,0.552747799128426,0.540589779218774,0.5623612380828,0.612517289073306,0.65540515755108,0.691084168258547,0.710324969148499,0.66179632311,0.627878617325641,0.587638190954774,0.560772884283247,0.58942167974426,0.61672211411713,0.634628310256755,0.68499452354874,0.739988854390574,0.777448588358313,0.771455938697318,0.785464931767693
"BW_10",0.165305514157973,0.148369384246329,0.122722834426001,0.104227530503523,0.0788860208411469,0.0589248611688263,0.0487755828163916,0.0309739087561928,0.0163824479613953,-0.00504931497626822,-0.0262300762300762,-0.0305884871678219,-0.0316420214867982,-0.0302933132132415,-0.0387918040279682,-0.0379510638938213,-0.0595361358459308,-0.0813232400992216,-0.099828776581055,-0.103516004156627,-0.11746867580338,-0.130572279997567,-0.124267956322968,-0.130408685213216,-0.119507575757576,-0.104178069695311,-0.0882202957674656,-0.0744844196898991,-0.0467114219989672,0.013040293040293,0.0597328632449658,0.129292072912251,0.193626231924104,0.27019595023364,0.319849858243821,0.365570518843303,0.390641050860053,0.445167201099404,0.508314109957709,0.571641301330103,0.578394160583941,0.570215835321534,0.549179608668948,0.538798826617261,0.561381742196683,0.610235131396957,0.653571035545284,0.688355229815602,0.705553270259153,0.66004124435084,0.62534590310023,0.58643216080402,0.558290155440414,0.587794245858762,0.612704789404306,0.632746336873236,0.680905439941584,0.738237401480774,0.7757058208435,0.768199233716475,0.778483021263091
"BW_11",0.164775625103494,0.14868198405741,0.122429906542056,0.104470985850948,0.0787977732183173,0.0590155264251445,0.0493634268211562,0.031769131060588,0.016006216006216,-0.0045275524287205,-0.0243936243936244,-0.0295715470870019,-0.0297488305410299,-0.0285390927096105,-0.0372358530015268,-0.0375297198061817,-0.0592462207496376,-0.0813232400992216,-0.100093896713615,-0.103378972490893,-0.117398152283787,-0.129964118469866,-0.122051359554666,-0.12863406232058,-0.118695887445887,-0.104009655733794,-0.0864427770088147,-0.0733102513924432,-0.0440198425739011,0.015026455026455,0.0626144145365788,0.130987706655362,0.19620521322649,0.271618945060862,0.320528690652078,0.366238647040401,0.391646449413153,0.448327989005955,0.505767012687428,0.569824083188208,0.5764299933643,0.569272596127171,0.548243689859905,0.536143276208121,0.56177354055113,0.610165975103734,0.652323832581343,0.686717866749834,0.703085150143974,0.65960247466105,0.623938839641668,0.582613065326633,0.554835924006909,0.586166811973264,0.611198292636997,0.631939776851727,0.680759401241329,0.738715070456174,0.776402927849425,0.765708812260537,0.776155717761557
"BW_12",0.16448418612353,0.14906254034916,0.123476077556145,0.105716904393653,0.0787683573440407,0.0606323901628197,0.0514827591541234,0.0347750713712018,0.0181163865374392,-0.00274346113710573,-0.0203568953568954,-0.0261282236554536,-0.0256683607355874,-0.0245590870508347,-0.0324124048195583,-0.0344197991593182,-0.05669910954649,-0.0785860918655376,-0.0965368682684341,-0.10143769055966,-0.114013023343285,-0.124466338259442,-0.116207604438231,-0.123858238947753,-0.114448051948052,-0.100697514490618,-0.0787790485903693,-0.0659340659340659,-0.0354130479007245,0.0241107041107041,0.0713946708251407,0.140243040836513,0.203242147922999,0.27815702940215,0.328714610869305,0.373128719072972,0.400563897449348,0.454374713696748,0.509707804690504,0.573155649781681,0.579296615792966,0.569328080785663,0.549238103594513,0.53552570634553,0.563340733968917,0.610857538035961,0.651957008180184,0.688745078164594,0.700781571369807,0.659953490412882,0.623282210027672,0.581608040201005,0.554620034542314,0.58732926474862,0.613332496390685,0.635031590267509,0.68105147864184,0.739192739431574,0.773963053328686,0.764176245210728,0.775309425579181
"BW_13",0.164802119556218,0.149470279233179,0.124717533826196,0.108266025090222,0.0814893257146219,0.0635639001171093,0.0555976671874758,0.0397690674428036,0.0216824111560954,0.00117817349446258,-0.0133229383229383,-0.0192950999545053,-0.0184448263502771,-0.0169197396963124,-0.0238546741741304,-0.0288620700033106,-0.0515013460343756,-0.0730476434864425,-0.0893786246893124,-0.0963446803165432,-0.105808787230541,-0.112570698777595,-0.107693857759978,-0.114097813038259,-0.105573593073593,-0.0896944690048138,-0.0654913673781598,-0.053198855938582,-0.0208597405442624,0.0408791208791209,0.0891924876262798,0.157587961000424,0.218642350557244,0.290348633732669,0.341372838717406,0.387409959285938,0.413022096911678,0.467292716445259,0.518694732795079,0.579919739532066,0.586038487060385,0.571880375076291,0.553274253458513,0.537007874015748,0.566605720255975,0.613692946058091,0.653571035545284,0.687731472457214,0.700123406005759,0.66135755342021,0.622719384644247,0.581105527638191,0.5588298791019,0.58732926474862,0.6158433243362,0.637451270332034,0.684848484848485,0.743332537218374,0.775357267340537,0.761302681992337,0.777636729080715
"BW_14",0.165676436496109,0.15095173051178,0.127911842655879,0.112734146760612,0.0854163449305417,0.0690642590004155,0.0616772117630679,0.0481825194233048,0.0281928597718071,0.00881947015854849,-0.00459112959112959,-0.00969661287588871,-0.00901563261067355,-0.00777138545694615,-0.0123406365784637,-0.0195523720668934,-0.0437564713191137,-0.0650714224617227,-0.07979011322839,-0.0871178814904478,-0.0919156538705658,-0.096539560907377,-0.0928325839724941,-0.0964820710893053,-0.0886093073593074,-0.0724320379492793,-0.0481824142201501,-0.0334186361583622,0.000672894856266529,0.0625641025641026,0.110990575632246,0.184718100890208,0.244947959841577,0.309309078322404,0.361498223056343,0.406117548804677,0.432299521342863,0.485890975721484,0.530853517877739,0.590469700411398,0.594319840743198,0.579148865338734,0.556023514960077,0.541639647985178,0.569936006268774,0.616666666666667,0.654524778988298,0.688199290476005,0.700452488687783,0.662937124303453,0.623282210027672,0.579597989949749,0.561636442141623,0.590002906131938,0.618981859268094,0.642021777120581,0.68864549105513,0.746357774062575,0.777971418612757,0.762068965517241,0.782079763038189
