"","WS_20","WS_21","WS_22","WS_23","WS_24","WS_25","WS_26","WS_27","WS_28","WS_29","WS_30","WS_31","WS_32","WS_33","WS_34","WS_35","WS_36","WS_37","WS_38","WS_39","WS_40","WS_41","WS_42","WS_43","WS_44","WS_45","WS_46","WS_47","WS_48","WS_49","WS_50","WS_51","WS_52","WS_53","WS_54","WS_55","WS_56","WS_57","WS_58","WS_59","WS_60","WS_61","WS_62","WS_63","WS_64","WS_65","WS_66","WS_67","WS_68","WS_69","WS_70","WS_71","WS_72","WS_73","WS_74","WS_75","WS_76","WS_77","WS_78","WS_79","WS_80"
"BW_5",0.718522934260639,0.726298478454398,0.742028176872646,0.75098814229249,0.749347335289489,0.755203807940765,0.766254660210696,0.796598038981797,0.803639635218583,0.806796377958057,0.801888426888427,0.805978537211978,0.806784240563914,0.798604168631519,0.797492973908646,0.806181719685798,0.817146407123628,0.814686510991361,0.818458989229495,0.811649975448493,0.810926443969064,0.818159703217174,0.838112870114986,0.834568610052717,0.843208874458874,0.833887695956661,0.845559845559845,0.847087159415926,0.837034255042799,0.84983312983313,0.851956064817954,0.858520559559135,0.862761352123054,0.868776801338384,0.872060056702472,0.882117131224554,0.897755338447752,0.892716445258818,0.885428681276432,0.88046742888872,0.855872594558726,0.834378294401598,0.818607235822293,0.803056970819824,0.813308084106047,0.798755186721992,0.785994644363743,0.797902615882422,0.818181818181818,0.85116932122329,0.866235167206041,0.882613065326633,0.882664075993091,0.873990119151409,0.878601468834348,0.877402876730743,0.866520627966411,0.861475997133986,0.858835831300105,0.83544061302682,0.875595049190733
"BW_6",0.732379533035271,0.735594925010024,0.749686148695773,0.757833533825972,0.753244938631132,0.754644705526803,0.76408891914051,0.798379336943642,0.805324500061342,0.81268724543037,0.803880803880804,0.808440602670806,0.814981941164037,0.811977742148449,0.813052484173061,0.824239323441779,0.838041002277904,0.83192199127534,0.830411488539078,0.817633691518882,0.820141517195985,0.823195280666545,0.835971839145603,0.82940132574769,0.833522727272727,0.822744305502926,0.828979383696365,0.832786391690501,0.819977152872322,0.832315832315832,0.839073835514272,0.850713579200226,0.853477019434466,0.859508105301617,0.859761210717566,0.866416118592755,0.880707276025616,0.871598717361429,0.863225682429835,0.857954115241917,0.837292634372926,0.815568995172835,0.80240414144073,0.78805002315887,0.799268643071699,0.784647302904564,0.771395033197608,0.78340025729991,0.80041135335253,0.83607564389452,0.846348670325032,0.868241206030151,0.869170984455959,0.864922987503633,0.870817902203252,0.866917596451136,0.85074844833881,0.846827481888385,0.83896828163123,0.828927203065134,0.872421453506823
"BW_7",0.744196058950157,0.747582448200173,0.757846282605663,0.759251303202154,0.756010030813128,0.75547580370972,0.765682285785004,0.79680479678094,0.80118594855437,0.812333793382031,0.80535343035343,0.808833105859894,0.816599424690518,0.82233330189569,0.832890859760189,0.840952638918149,0.858832056326362,0.846398939355059,0.83924882629108,0.827408617007914,0.826041985001998,0.823900748038679,0.82997695243133,0.819927971188475,0.822862554112554,0.808541394748291,0.808756465360239,0.813939485172362,0.800510148193356,0.808774928774929,0.819004678283274,0.838738165889501,0.841613705443493,0.845855046824222,0.845226210917222,0.849170059505167,0.852862107402793,0.843930371049015,0.830690119184929,0.825950884631887,0.812023888520239,0.79326416245908,0.781404463162821,0.769955226184962,0.780788820686953,0.766528354080221,0.754374380983823,0.764141748859694,0.778938708350473,0.81404940546707,0.828150649594297,0.846834170854271,0.856649395509499,0.85178727114211,0.856757265708367,0.853474929425998,0.836144578313253,0.830905182708383,0.82467758800976,0.818773946360153,0.865016396911033
"BW_8",0.754462659380692,0.757449729193425,0.760426837773748,0.756501689866529,0.75325964656827,0.755551358089985,0.763145274817072,0.790427113899691,0.788263198789515,0.793196889621975,0.790921690921691,0.795202540566097,0.798568159469171,0.805375837027256,0.822427089107371,0.840852318897282,0.860902878442742,0.846997690531178,0.83997790665562,0.82928138310628,0.824608006770258,0.819570637961443,0.821689903149834,0.808079753640587,0.809334415584416,0.793749035128345,0.788533547024113,0.793496914044859,0.7787584307466,0.784257224257224,0.797443894501322,0.819697611982479,0.82271345675601,0.827817625906198,0.824781376033223,0.824908654348053,0.820208510917317,0.802702702702703,0.791858900422914,0.79021226117463,0.775607166556072,0.76419020140931,0.753209909040391,0.749698934691987,0.757019720517174,0.741908713692946,0.735519606764242,0.744805270749678,0.757466063348416,0.784037558685446,0.802448290417898,0.824020100502513,0.83786701208981,0.835280441732055,0.838177138911556,0.838822422368598,0.819788243884629,0.817689674388982,0.812826768909028,0.807471264367816,0.854649317676928
"BW_9",0.750117569133963,0.74722907450069,0.749602455014646,0.748711118748926,0.741625668291894,0.744172868422047,0.75049115913556,0.771882529761195,0.767145135566188,0.770239337529875,0.766510741510742,0.770100177518488,0.773975057668802,0.78008110912006,0.790568991840982,0.811819704858499,0.829343549389107,0.82753827730733,0.819033416183375,0.810987655730779,0.809304403018407,0.80156905674147,0.807836173347943,0.789472310663396,0.789583333333333,0.774605981502533,0.76513440664384,0.772000602137588,0.754784595402407,0.757785917785918,0.773238863651773,0.793203334746362,0.795634153080962,0.80328057996654,0.797308629157849,0.789330827852594,0.784189014927983,0.756573522675218,0.749903883121876,0.752807854420635,0.738022561380225,0.723242523442268,0.718229943552397,0.7235757295044,0.725741151887162,0.710373443983403,0.70382597850409,0.716268371603446,0.734101192924722,0.757360361546224,0.776276910088645,0.799899497487437,0.809045768566494,0.814472537053182,0.819094846525642,0.819868261863154,0.802993793355239,0.80542950402038,0.795747647263855,0.794252873563218,0.839204485348567
"BW_10",0.696042391124358,0.694454071612539,0.697670525875296,0.689293693074411,0.686397364337665,0.687446639718938,0.689494608851693,0.706038122957273,0.709041835357625,0.722001548456593,0.721015246015246,0.728476998421067,0.733409306044426,0.738262755823823,0.744182201865196,0.758008045665674,0.775460757920895,0.787742708066034,0.786202706434687,0.777483413458794,0.773854580502598,0.762208842668613,0.772622511051498,0.752622788245733,0.750378787878788,0.736600564186771,0.72824360748889,0.732650910733103,0.713190304054583,0.717476597476597,0.734965082378466,0.75402713013989,0.754738878143133,0.759321577601292,0.749191390807811,0.748073911681804,0.740607173300112,0.709390746678882,0.701460976547482,0.705711617576538,0.688971466489715,0.674748931920324,0.672896376239361,0.686706808707735,0.687932610683035,0.672475795297372,0.664869227100987,0.681805777552532,0.698724804607158,0.725242420253609,0.73931804324375,0.760100502512563,0.77795768566494,0.792502179598954,0.794990898248698,0.793923914504638,0.784592917123038,0.795239232545179,0.781282676890903,0.784674329501916,0.827356394795303
"BW_11",0.612253684384832,0.614088737572459,0.616124982563816,0.617560291000745,0.617784837587604,0.6208832307053,0.625775412651022,0.645426278916271,0.639831513515724,0.646985558959168,0.652182952182952,0.657862106493251,0.668323974598156,0.674865604074319,0.681282881621301,0.695950080757617,0.715406916545869,0.727782054571893,0.733532173432753,0.725160155759327,0.725522461740991,0.713045064769203,0.710356292741905,0.691267811472415,0.69047619047619,0.66533338947132,0.660523056749472,0.663916905012795,0.645556546641003,0.650565730565731,0.662180486812665,0.679525222551929,0.689932762273188,0.697478991596639,0.683903685660664,0.687483035807495,0.686271938452123,0.659780119102153,0.656334102268358,0.655536205547563,0.638380889183809,0.631027021028685,0.626977859670674,0.638351088466883,0.649340472770014,0.633471645919779,0.625985840578115,0.642509063974114,0.658905800082271,0.689965337194507,0.699826462173444,0.721608040201005,0.748380829015544,0.766695727986051,0.769129370409893,0.766635300443608,0.76604600219058,0.784889738078178,0.77065179505054,0.77911877394636,0.821643922564265
"BW_12",0.535870177181653,0.542394650465842,0.54491560887153,0.54372171621699,0.543347967730786,0.546824827169355,0.551614250576242,0.563772852700972,0.566417208522472,0.569798364021948,0.567325017325017,0.566533750813998,0.567047449246859,0.565613505611619,0.566317550155109,0.575425607688526,0.59144750465935,0.605743734496621,0.620436343551505,0.621038928412374,0.629281365335339,0.627683512740984,0.626805707736678,0.604650555874524,0.593344155844156,0.556032728446522,0.542157791214395,0.545325906969743,0.525781262225561,0.522246642246642,0.534544714895925,0.549173378550233,0.562936354425716,0.579024287060362,0.575410294293815,0.586512162021088,0.589360260529364,0.576362803481448,0.57920030757401,0.586532394437293,0.573138686131387,0.564168007545913,0.558655786610512,0.566404199475066,0.581820556353663,0.582157676348548,0.571182275044936,0.586526841058828,0.599095022624434,0.631608968452459,0.652549129965761,0.67286432160804,0.709304835924007,0.729148503342052,0.730713702843513,0.730205672805485,0.737276378240234,0.764986864103176,0.757232485186476,0.772605363984674,0.813604146831694
"BW_13",0.499413810233482,0.499690798012953,0.491825917143256,0.490404995130893,0.491414241695531,0.492395451626308,0.489952508392247,0.496703803548282,0.498482803745962,0.498754502305854,0.490748440748441,0.485071498024103,0.476100761871502,0.468508912571914,0.458373447695734,0.448340205254763,0.440857320356181,0.437088358566419,0.466998066832367,0.483527651848215,0.499941230400338,0.507729733017089,0.523910278208083,0.514249177932042,0.49862012987013,0.450493312562278,0.420762001894077,0.416348035526118,0.396679342127913,0.388945868945869,0.391450267814767,0.40677546983185,0.403813208068527,0.418841220698806,0.419638222257717,0.437519574068274,0.451445806832339,0.45593220338983,0.464244521337947,0.478862219530047,0.487086927670869,0.492759252066803,0.488520370857828,0.491184190211518,0.50568107613948,0.524896265560166,0.516011885110597,0.52563252894624,0.538543809132044,0.562634373217498,0.58191454434595,0.601708542713568,0.650474956822107,0.678116826503923,0.682882430481451,0.68678585831429,0.700328587075575,0.734575272669373,0.751829905890554,0.764750957854406,0.802602348460806
"BW_14",0.481702268587514,0.475933212370798,0.468210350118566,0.462464913788165,0.457938976768813,0.457912432473273,0.448896245533159,0.455399957057996,0.452255346992189,0.455465041909314,0.448042273042273,0.438881009090017,0.420904136530314,0.408544751485429,0.38915307640692,0.364572987831182,0.339821909297991,0.31252672996322,0.332891466445733,0.353279053567962,0.369707797550483,0.380915891260719,0.398319920404025,0.407380343441725,0.38961038961039,0.355227148330597,0.328389305747796,0.32256510612675,0.293522995790495,0.272087912087912,0.26486541460438,0.272714427017098,0.263369254858617,0.276157144780109,0.263506768358424,0.263054598601107,0.285117915765086,0.304718277599634,0.322183775470973,0.34635673001691,0.378792302587923,0.387227431615158,0.394753005176801,0.394410992743554,0.418179443646337,0.446334716459198,0.451524155386816,0.463100853767884,0.478815302344714,0.491904699223378,0.500117255288213,0.518391959798995,0.577828151986183,0.615693112467306,0.636683196283975,0.648070977281893,0.662358525009127,0.70288989730117,0.742593238062043,0.755938697318008,0.790331111816355
