"","WS_20","WS_21","WS_22","WS_23","WS_24","WS_25","WS_26","WS_27","WS_28","WS_29","WS_30","WS_31","WS_32","WS_33","WS_34","WS_35","WS_36","WS_37","WS_38","WS_39","WS_40","WS_41","WS_42","WS_43","WS_44","WS_45","WS_46","WS_47","WS_48","WS_49","WS_50","WS_51","WS_52","WS_53","WS_54","WS_55","WS_56","WS_57","WS_58","WS_59","WS_60","WS_61","WS_62","WS_63","WS_64","WS_65","WS_66","WS_67","WS_68","WS_69","WS_70","WS_71","WS_72","WS_73","WS_74","WS_75","WS_76","WS_77","WS_78","WS_79","WS_80"
"BW_5",0.682397747971518,0.703002996880798,0.718035988282885,0.723492008936243,0.71647509578544,0.72176343923539,0.730024906022307,0.753990027912303,0.755841818999714,0.749688625576463,0.740869715869716,0.747245787281112,0.765207561735486,0.77662925587098,0.786620766111387,0.793581525064957,0.791136881341893,0.783850825421264,0.781342170671085,0.78120610704457,0.778955781753215,0.784224289971416,0.792244430170905,0.774544600448875,0.768479437229437,0.75464892706272,0.756625628323741,0.765919012494355,0.766708918204153,0.771168091168091,0.779374872872737,0.797513070510103,0.811329096435479,0.821318000884564,0.826338697440403,0.834721787242927,0.850589032413175,0.856390288593678,0.859669357939254,0.857348375861286,0.825295288652953,0.81601287244077,0.790354186774297,0.765323452215532,0.761198902964608,0.746196403872753,0.727889659220131,0.731550426883942,0.711888111888112,0.713220130753368,0.729562403264387,0.762914572864322,0.742983592400691,0.749491426910782,0.774025484903647,0.776717300712461,0.796129974443227,0.786004299020779,0.765772046009062,0.759386973180077,0.800909764096054
"BW_6",0.704904785560523,0.719992117048242,0.732096526712233,0.733502319986252,0.721666997595252,0.718711042272676,0.724208344290952,0.745846951515296,0.747646505541242,0.749924260275356,0.741978516978517,0.74835193263218,0.764766429864628,0.777949636895218,0.788682401221422,0.796410549653394,0.800724787740733,0.793986827474125,0.793162109914388,0.784586221466011,0.78619619643151,0.788943623426382,0.794889233133084,0.777258729578788,0.766937229437229,0.751364854813131,0.745261164129088,0.752491344272166,0.746365585340281,0.74964590964591,0.760424435554953,0.773279638264802,0.787049829603021,0.800280753033479,0.802899013696442,0.812297734627832,0.82820798636155,0.837150710032066,0.842320261437909,0.838620933343429,0.804857332448573,0.794151916994951,0.770114942528736,0.744079048942412,0.738866396761134,0.719156293222683,0.699790910091339,0.693579197692098,0.681036610448375,0.679698126453425,0.687162891046386,0.712361809045226,0.704987046632124,0.718570183086312,0.749293829640324,0.761123806963301,0.782110259218693,0.773425682668577,0.758452422446846,0.753256704980843,0.799428752776896
"BW_7",0.72360986918364,0.733053352632974,0.740730924815176,0.740576845964369,0.725932299365352,0.717199954667372,0.723945361446715,0.739946402016684,0.736375904796957,0.738916753627091,0.740315315315315,0.744248490200801,0.754767440791832,0.771234556257663,0.787923875096031,0.80080456656735,0.809194450196728,0.800444786587974,0.792764429715548,0.785088670907036,0.783962951644373,0.787070485921061,0.788516517424214,0.771334620804844,0.761661255411255,0.741596845045121,0.728185328185328,0.731085353003161,0.721202447459431,0.723239723239723,0.734795579361313,0.747032640949555,0.757023118725246,0.774397630905909,0.776424549774388,0.787326443261301,0.804471837912268,0.81319285387082,0.820982314494425,0.81509805406224,0.772687458526874,0.766354103090495,0.742212863034132,0.712582985950286,0.707326629228157,0.689142461964039,0.670885147279997,0.663015087131106,0.645166598107775,0.644596551270238,0.636039585385301,0.653266331658292,0.658354922279793,0.682301656495205,0.720544849664177,0.741766366447103,0.765607886089814,0.754478146644375,0.738759149529453,0.74904214559387,0.799428752776896
"BW_8",0.731995363470773,0.739767452923148,0.737662156507184,0.73406083519505,0.723020127811974,0.713830229307544,0.713364169360952,0.727843118543789,0.717122643438433,0.709933685663312,0.715696465696466,0.72123353047698,0.732012388453373,0.75222106950863,0.768824576246463,0.783649842999168,0.799937875336509,0.790843383799504,0.780149130074565,0.777140834294458,0.774371752979619,0.773034117861704,0.771363081069508,0.752570593454773,0.742748917748918,0.72147137664379,0.707612734027828,0.705163329820864,0.690280581506346,0.693089133089133,0.699233846362465,0.715451462484104,0.726517454177029,0.744937792050459,0.743002036497225,0.759014510909281,0.77719493803685,0.785066422354558,0.788590926566705,0.775876429166351,0.728891838088918,0.729234866559396,0.704600625895704,0.681210436930678,0.673370771842758,0.658852005532504,0.638677964858222,0.628318584070796,0.609707939119704,0.599403273221886,0.579006613198255,0.581206030150754,0.604382556131261,0.643126997965708,0.686146506810621,0.712326925662051,0.738590726542534,0.730913143857973,0.718717323109097,0.738888888888889,0.795832011001798
"BW_9",0.713356515979467,0.725360679021155,0.715497279955363,0.69731339863665,0.685117773806635,0.677397907143667,0.67677861485389,0.682292784948032,0.663419621314358,0.657437640960043,0.661503811503812,0.663767495383627,0.678598671090239,0.699632179571819,0.722496134434169,0.730038823848076,0.744046386415407,0.741232572063981,0.727412317039492,0.719450503020406,0.718070476503914,0.725524539317643,0.732245185828894,0.720392504828018,0.708766233766234,0.692279623314106,0.678152546077074,0.675357519193136,0.657011407915121,0.655938135938136,0.657502203539223,0.671894870707927,0.692880169475914,0.710901294156106,0.706744399632632,0.729491596200021,0.741306580989225,0.744525881814017,0.746299500192234,0.727972539814745,0.68493696084937,0.679409643233646,0.660495452019537,0.6411919098348,0.629358756693222,0.61701244813278,0.591871171270313,0.588865931152782,0.571534348004936,0.550524329779299,0.521786032550068,0.52572864321608,0.545984455958549,0.598488811392037,0.645471094093277,0.672671057937895,0.701058780576853,0.693654963776769,0.689090275357267,0.727011494252874,0.789273246588385
"BW_10",0.640880940553072,0.66106025701141,0.646728971962617,0.625408145729507,0.611754583360911,0.598171583997582,0.586621908017883,0.58640487948406,0.564617838302049,0.561298683811896,0.572453222453222,0.576828039000544,0.588938618338219,0.601112892577572,0.616321926267371,0.625665874138502,0.64209981362601,0.647634932854332,0.64025407346037,0.624464720055726,0.617880063001011,0.63454357477346,0.653984206748026,0.654313899472833,0.652002164502165,0.630640113398734,0.61605594813142,0.619117868432937,0.595574542666229,0.592836792836793,0.598718557190318,0.61978945881023,0.641595284148476,0.662404092071611,0.660264345326039,0.686898423635035,0.689331847091994,0.686303252404947,0.680699730872741,0.653668509123949,0.620597213005972,0.616711979137768,0.602409990933287,0.587710359734445,0.574637586522137,0.56313969571231,0.54051575510803,0.540134887528751,0.523323735088441,0.508753455311307,0.477229023028939,0.470753768844221,0.481865284974093,0.536413833188027,0.583830268030883,0.619706949858852,0.654618473895582,0.657670567629966,0.66103171836877,0.718390804597701,0.778059875171903
"BW_11",0.536943202516973,0.561721473568327,0.546617380387781,0.534871398292948,0.5263308844618,0.516890181708284,0.510511578979936,0.506930362382804,0.494000736105999,0.49001918739691,0.495634095634096,0.497114209507498,0.505546314251316,0.517438460812978,0.522867617741732,0.527914045806122,0.538558707806999,0.54755795056026,0.540149130074565,0.527446300715991,0.528009591198665,0.540740740740741,0.560861953879674,0.57202881152461,0.57478354978355,0.547134857479685,0.524557441538574,0.515188920668373,0.501431857659265,0.501603581603582,0.509898976201776,0.536986011021619,0.566104817168647,0.592908101455685,0.59593499181408,0.625848209625222,0.62524861757699,0.612872194228126,0.59236831987697,0.572247040710734,0.556788321167883,0.555179492870221,0.550875961510339,0.54021923730122,0.526511688650908,0.510373443983403,0.490994460951542,0.488363026782582,0.475113122171946,0.470317230485718,0.434548098119225,0.407839195979899,0.420876511226252,0.470386515547806,0.524449187119453,0.565398575077295,0.607594012413289,0.626462861237163,0.649529452771,0.718965517241379,0.776790436898339
"BW_12",0.467845669812883,0.485759719475648,0.475101129864695,0.46969696969697,0.465131158029431,0.457882210721167,0.445199016134771,0.444250940350375,0.434801455854087,0.425909718248224,0.429608454608455,0.430477872632715,0.434450561064598,0.437819485051401,0.437523703941418,0.430061897452875,0.430834541312901,0.428363698571551,0.428688207677437,0.413892727044341,0.406097933660876,0.421200510855683,0.439755166811501,0.461897802599301,0.477002164502164,0.435083435083435,0.402607998834414,0.386331476742436,0.347385881726993,0.342678062678063,0.342124889823039,0.362618341104988,0.405986920880538,0.442532161606061,0.442279279639021,0.482242405261509,0.50862238541735,0.500595510765002,0.49620338331411,0.483304308321345,0.480451227604512,0.489929534483715,0.491620601912784,0.483588080901652,0.465848243437378,0.448616874135546,0.436117530538131,0.431601107169311,0.415713698066639,0.421789302794963,0.383330988227569,0.34321608040201,0.34963298791019,0.390293519325777,0.446739062205762,0.480575346148676,0.539539978094195,0.587771674229759,0.63401882188916,0.704980842911878,0.772558975986459
"BW_13",0.4482927637026,0.458699448872942,0.443562561026642,0.435054705848657,0.432582493142424,0.421132560160175,0.407112912457652,0.403790029502747,0.394806363227416,0.384185545494328,0.388461538461538,0.387248998670841,0.387617060775105,0.386720739413374,0.37073450613142,0.358112378487375,0.34346655622282,0.329783594217774,0.31967964650649,0.309428920533053,0.29970145043372,0.305820105820106,0.314945655596277,0.34853071663448,0.367721861471861,0.331003606865676,0.294936985503023,0.274875809122384,0.222352628202119,0.194236874236874,0.173876194996271,0.170269888370779,0.19620521322649,0.21069938272792,0.214431178373198,0.264140306921391,0.307979804602977,0.341181859825928,0.371491733948481,0.386133616011711,0.396947577969476,0.421405981246185,0.436225907402533,0.427203952447121,0.410604675460363,0.400069156293223,0.37962657275962,0.386144789676816,0.370300287947347,0.372647097538502,0.346653534074387,0.309145728643216,0.312607944732297,0.33554199360651,0.385098236143368,0.40879150423444,0.464184008762322,0.557837751771356,0.625827814569537,0.691379310344828,0.767481222892204
"BW_14",0.437430038085776,0.441723920001631,0.428567443158042,0.418599988543278,0.411550143034689,0.394809414075781,0.384156057113686,0.381825989455352,0.367161493477283,0.357659810818999,0.359043659043659,0.355581127733026,0.35302496990194,0.345166462321984,0.320360591650378,0.294970957353959,0.270863532822531,0.24089042853477,0.219994476663905,0.209852576766281,0.198218105738264,0.199075594477893,0.207868918527474,0.244689180019834,0.270048701298701,0.247947454844007,0.213025424346179,0.186060514827638,0.127521399621301,0.0928123728123728,0.0615634958302258,0.0480429560548255,0.0350925670074606,0.0130953983424033,0.00539072794792956,0.048042593172565,0.0873166786877363,0.146587265231333,0.197424067666282,0.231972943640998,0.285680159256802,0.333518282194973,0.359656049837677,0.349945962637023,0.354708110225937,0.353803596127248,0.337001577344925,0.352072043974894,0.338461538461538,0.339476108990391,0.313165423760612,0.270452261306533,0.277849740932642,0.301017146178437,0.345929320193334,0.367522516467267,0.427236217597663,0.546373696361755,0.626524921575462,0.697892720306514,0.762191896752354
